NUMEROTATION,TYPE_DE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
277,"Soins en chirurgie d'un jour","Autres affections dégénératives du système nerveux (G30-G32)",6,6,1.0,3,2,0,0,0,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
278,"Soins en chirurgie d'un jour","Maladies démyélinisantes du système nerveux central (G35-G37)",6,6,1.0,3,0,0,2,0,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
279,"Soins en chirurgie d'un jour","Affections épisodiques et paroxystiques (G40-G47)",481,481,1.0,368,58,24,23,6,2,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
280,"Soins en chirurgie d'un jour","Affections des nerfs, des racines et des plexus nerveux (G50-G59)",5549,5549,1.0,7,10,539,2201,1257,1535,0,0.0,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
281,"Soins en chirurgie d'un jour","Polynévrites et autres affections du système nerveux périphérique (G60-G64)",35,35,1.0,0,0,2,9,16,8,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
282,"Soins en chirurgie d'un jour","Affections musculaires et des jonctions neuro-musculaires (G70-G73)",74,74,1.0,3,4,6,15,22,24,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
283,"Soins en chirurgie d'un jour","Paralysies cérébrales et autres syndromes paralytiques (G80-G83)",132,132,1.0,74,48,3,4,2,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
284,"Soins en chirurgie d'un jour","Autres affections du système nerveux (G90-G99)",159,159,1.0,49,14,14,47,18,17,0,0.0,3.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
285,"Soins en chirurgie d'un jour","Affections de la paupière, de l'appareil lacrymal et de l'orbite (H00-H06)",3258,3258,1.0,167,38,166,492,837,1558,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
286,"Soins en chirurgie d'un jour","Affections de la conjonctive (H10-H13)",724,724,1.0,4,3,77,277,167,196,0,0.0,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
287,"Soins en chirurgie d'un jour","Affections de la sclère, de la cornée, de l'iris et du corps ciliaire (H15-H22)",1081,1081,1.0,13,16,88,154,248,562,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
288,"Soins en chirurgie d'un jour","Affections du cristallin (H25-H28)",92270,92270,1.0,48,32,237,5808,23015,63130,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
289,"Soins en chirurgie d'un jour","Affections de la choroïde et de la rétine (H30-H36)",4047,4047,1.0,20,43,167,853,1369,1595,0,0.0,1.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
290,"Soins en chirurgie d'un jour","Glaucome (H40-H42)",2284,2284,1.0,7,18,78,323,556,1302,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
291,"Soins en chirurgie d'un jour","Affections du corps vitré et du globe oculaire (H43-H45)",711,711,1.0,2,4,33,186,184,302,0,0.0,0.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
292,"Soins en chirurgie d'un jour","Affections du nerf et des voies optiques (H46-H48)",17,17,1.0,3,1,1,0,5,7,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
293,"Soins en chirurgie d'un jour","Affections des muscles oculaires, des mouvements binoculaires, de l'accommodation et de la réfraction (H49-H52)",1905,1905,1.0,583,267,261,408,243,143,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
294,"Soins en chirurgie d'un jour","Troubles de la vision et cécité (H53-H54)",20,20,1.0,1,0,2,5,1,11,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
295,"Soins en chirurgie d'un jour","Autres affections de l'oeil et de ses annexes (H55-H59)",500,500,1.0,4,3,16,66,112,299,0,0.0,0.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
296,"Soins en chirurgie d'un jour","Maladies de l'oreille externe (H60-H62)",125,125,1.0,35,8,14,23,26,19,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
297,"Soins en chirurgie d'un jour","Maladies de l'oreille moyenne et de l'apophyse mastoïde (H65-H75)",11561,11561,1.0,10230,414,263,357,170,127,0,0.0,0.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
298,"Soins en chirurgie d'un jour","Maladies de l'oreille interne (H80-H83)",313,313,1.0,0,0,53,172,61,27,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
299,"Soins en chirurgie d'un jour","Autres affections de l'oreille (H90-H95)",456,456,1.0,91,63,71,99,75,57,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
300,"Soins en chirurgie d'un jour","Maladies hypertensives (I10-I15)",5,5,1.0,1,1,0,1,1,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
301,"Soins en chirurgie d'un jour","Cardiopathies ischémiques (I20-I25)",40,40,1.0,0,0,0,5,13,22,0,0.0,2.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
302,"Soins en chirurgie d'un jour","Affections cardiopulmonaires et maladies de la circulation pulmonaire (I26-I28)",3,3,1.0,2,0,1,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
303,"Soins en chirurgie d'un jour","Autres formes de cardiopathies (I30-I52)",1218,1218,1.0,4,13,41,234,326,600,0,0.0,0.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
304,"Soins en chirurgie d'un jour","Maladies cérébrovasculaires (I60-I69)",20,20,1.0,4,2,0,6,4,4,0,0.0,20.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
305,"Soins en chirurgie d'un jour","Maladies des artères, artérioles et capillaires (I70-I79)",622,622,1.0,5,3,5,72,188,349,0,0.0,0.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
306,"Soins en chirurgie d'un jour","Maladies des veines, des vaisseaux et des ganglions lymphatiques, non classées ailleurs (I80-I89)",1057,1057,1.0,27,32,260,472,201,65,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
307,"Soins en chirurgie d'un jour","Troubles autres et non précisés de l'appareil circulatoire (I95-I99)",5,5,1.0,0,0,1,2,0,2,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
308,"Soins en chirurgie d'un jour","Affections aiguës des voies respiratoires supérieures (J00-J06)",196,196,1.0,22,38,100,25,5,6,0,0.0,1.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
309,"Soins en chirurgie d'un jour","Grippe et pneumonie (J09-J18)",8,8,1.0,7,0,0,0,1,0,0,0.0,12.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
310,"Soins en chirurgie d'un jour","Autres affections aiguës des voies respiratoires inférieures (J20-J22)",10,10,1.0,8,1,1,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
311,"Soins en chirurgie d'un jour","Autres maladies des voies respiratoires supérieures (J30-J39)",10151,10151,1.0,3160,789,2916,1997,823,466,0,0.0,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
312,"Soins en chirurgie d'un jour","Maladies chroniques des voies respiratoires inférieures (J40-J47)",20,20,1.0,6,4,0,2,2,6,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
313,"Soins en chirurgie d'un jour","Maladies du poumon dues à des agents externes (J60-J70)",1,1,1.0,0,0,1,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
314,"Soins en chirurgie d'un jour","Autres maladies respiratoires touchant principalement le tissu interstitiel (J80-J84)",18,18,1.0,1,0,1,1,9,6,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
315,"Soins en chirurgie d'un jour","Maladies suppurées et nécrotiques des voies respiratoires inférieures (J85-J86)",4,4,1.0,0,0,1,0,3,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
316,"Soins en chirurgie d'un jour","Autres affections de la plèvre (J90-J94)",15,15,1.0,0,1,5,3,3,3,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
317,"Soins en chirurgie d'un jour","Autres maladies de l'appareil respiratoire (J95-J99)",97,97,1.0,15,1,4,24,25,28,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
318,"Soins en chirurgie d'un jour","Maladies de la cavité buccale, des glandes salivaires et des maxillaires (K00-K14)",5700,5700,1.0,2403,973,1136,726,286,176,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
319,"Soins en chirurgie d'un jour","Maladies de l'oesophage, de l'estomac et du duodénum (K20-K31)",986,986,1.0,212,389,49,109,114,113,0,0.0,0.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
320,"Soins en chirurgie d'un jour","Maladies de l'appendice (K35-K38)",1200,1200,1.0,83,244,395,272,130,76,0,0.0,52.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
321,"Soins en chirurgie d'un jour","Hernie (K40-K46)",20848,20848,1.0,783,174,2216,7127,5396,5152,0,0.0,0.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
322,"Soins en chirurgie d'un jour","Entérites et colites non infectieuses (K50-K52)",451,451,1.0,49,316,27,22,23,14,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
323,"Soins en chirurgie d'un jour","Autres maladies de l'intestin (K55-K64)",5125,5125,1.0,82,118,1229,2084,995,617,0,0.0,2.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
324,"Soins en chirurgie d'un jour","Maladies du péritoine (K65-K67)",62,62,1.0,0,0,10,21,21,10,1,0.0,1.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
325,"Soins en chirurgie d'un jour","Maladies du foie (K70-K77)",48,48,1.0,13,8,1,7,11,8,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
326,"Soins en chirurgie d'un jour","Maladies de la vésicule biliaire, des voies biliaires et du pancréas (K80-K87)",9577,9577,1.0,6,131,2423,3495,1990,1532,1,0.0,3.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
327,"Soins en chirurgie d'un jour","Autres affections de l'appareil digestif (K90-K93)",327,327,1.0,94,146,14,30,23,20,0,0.0,0.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
328,"Soins en chirurgie d'un jour","Infections de la peau et du tissu cellulaire sous-cutané (L00-L08)",1301,1301,1.0,21,240,725,229,53,33,0,0.0,3.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
329,"Soins en chirurgie d'un jour","Dermatoses bulleuses (L10-L14)",7,7,1.0,0,0,0,0,2,5,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
330,"Soins en chirurgie d'un jour","Dermites et eczémas (L20-L30)",23,23,1.0,1,1,0,10,4,7,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
331,"Soins en chirurgie d'un jour","Lésions papulo-squameuses (L40-L45)",10,10,1.0,0,2,0,3,3,2,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
332,"Soins en chirurgie d'un jour","Urticaire et érythème (L50-L54)",6,6,1.0,1,0,1,1,1,2,0,0.0,16.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
333,"Soins en chirurgie d'un jour","Affections de la peau et du tissu cellulaire sous-cutané liées à une irradiation (L55-L59)",89,89,1.0,0,0,1,10,27,51,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
334,"Soins en chirurgie d'un jour","Maladies des phanères et des annexes de la peau (L60-L75)",1550,1550,1.0,40,80,333,544,312,241,0,0.0,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
335,"Soins en chirurgie d'un jour","Autres affections de la peau et du tissu cellulaire sous-cutané (L80-L99)",1352,1352,1.0,59,68,208,442,253,322,0,0.0,0.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
336,"Soins en chirurgie d'un jour","Arthropathies infectieuses (M00-M03)",122,122,1.0,3,2,20,40,25,32,0,0.0,27.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
337,"Soins en chirurgie d'un jour","Polyarthropathies inflammatoires (M05-M14)",328,328,1.0,65,77,21,49,53,63,0,0.0,0.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
338,"Soins en chirurgie d'un jour","Arthroses (M15-M19)",6916,6916,1.0,0,5,120,2011,2878,1902,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
339,"Soins en chirurgie d'un jour","Autres affections articulaires (M20-M25)",10755,10755,1.0,53,704,3077,4254,1778,889,0,0.0,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
340,"Soins en chirurgie d'un jour","Affections disséminées du tissu conjonctif (M30-M36)",63,63,1.0,0,1,3,10,11,38,0,0.0,1.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
341,"Soins en chirurgie d'un jour","Dorsopathies déformantes (M40-M43)",56,56,1.0,16,20,1,8,5,6,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
342,"Soins en chirurgie d'un jour","Spondylopathies (M45-M49)",518,518,1.0,2,2,17,130,147,220,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
343,"Soins en chirurgie d'un jour","Autres dorsopathies (M50-M54)",1224,1224,1.0,2,6,209,448,297,262,0,0.0,0.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
344,"Soins en chirurgie d'un jour","Atteintes musculaires (M60-M63)",125,125,1.0,0,9,37,51,14,14,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
345,"Soins en chirurgie d'un jour","Atteintes des synoviales et des tendons (M65-M68)",2272,2272,1.0,118,32,232,818,658,414,0,0.0,1.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
346,"Soins en chirurgie d'un jour","Autres affections des tissus mous (M70-M79)",6181,6181,1.0,14,50,492,2381,2015,1229,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
347,"Soins en chirurgie d'un jour","Anomalies de la densité et de la structure osseuses (M80-M85)",993,993,1.0,23,102,261,324,158,125,0,0.0,0.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
348,"Soins en chirurgie d'un jour","Autres ostéopathies (M86-M90)",767,767,1.0,14,47,115,210,189,192,0,0.0,2.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
349,"Soins en chirurgie d'un jour","Chondropathies (M91-M94)",306,306,1.0,11,91,91,94,16,3,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
350,"Soins en chirurgie d'un jour","Autres maladies du système ostéo-articulaire, des muscles et du tissu conjonctif (M95-M99)",170,170,1.0,3,10,42,53,44,18,0,0.0,1.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
351,"Soins en chirurgie d'un jour","Glomérulopathies (N00-N08)",12,12,1.0,5,5,0,0,1,1,0,0.0,8.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
352,"Soins en chirurgie d'un jour","Maladies rénales tubulo-interstitielles (N10-N16)",1329,1329,1.0,35,17,93,261,334,589,0,0.0,4.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
353,"Soins en chirurgie d'un jour","Insuffisance rénale (N17-N19)",509,509,1.0,7,5,24,125,143,205,0,0.0,0.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
354,"Soins en chirurgie d'un jour","Lithiase urinaire (N20-N23)",7476,7476,1.0,7,39,760,2487,2148,2035,0,0.0,4.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
355,"Soins en chirurgie d'un jour","Autres affections du rein et de l'uretère (N25-N29)",218,218,1.0,5,4,10,50,61,88,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
356,"Soins en chirurgie d'un jour","Autres maladies de l'appareil urinaire (N30-N39)",2258,2258,1.0,53,40,164,557,535,909,0,0.0,0.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
357,"Soins en chirurgie d'un jour","Maladies des organes génitaux de l'homme (N40-N51)",5848,5848,1.0,851,786,592,928,1181,1510,0,0.0,2.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
358,"Soins en chirurgie d'un jour","Affections du sein (N60-N64)",3161,3161,1.0,0,218,990,1331,471,151,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
359,"Soins en chirurgie d'un jour","Affections inflammatoires des organes pelviens de la femme (N70-N77)",341,341,1.0,2,6,169,136,15,13,0,0.0,4.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
360,"Soins en chirurgie d'un jour","Affections non inflammatoires de l'appareil génital de la femme (N80-N98)",10786,10786,1.0,7,114,2037,5611,1877,1140,0,0.0,0.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
361,"Soins en chirurgie d'un jour","Autres affections de l'appareil génito-urinaire (N99)",109,109,1.0,13,4,10,18,24,40,0,0.0,1.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
362,"Soins en chirurgie d'un jour","Grossesse se terminant par un avortement (O00-O08)",2824,2824,1.0,0,97,2400,327,0,0,0,0.0,9.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
363,"Soins en chirurgie d'un jour","Autres affections maternelles liées principalement à la grossesse (O20-O29)",17,17,1.0,0,1,16,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
364,"Soins en chirurgie d'un jour","Soins maternels liés au foetus et à la cavité amniotique, et problèmes possibles à l'accouchement (O30-O48)",156,156,1.0,0,0,146,10,0,0,0,0.0,0.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
365,"Soins en chirurgie d'un jour","Complications du travail et de l'accouchement (O60-O75)",156,156,1.0,0,0,151,5,0,0,0,0.0,8.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
366,"Soins en chirurgie d'un jour","Complications principalement liées à la puerpéralité (O85-O92)",25,25,1.0,0,0,25,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
367,"Soins en chirurgie d'un jour","Autres problèmes obstétricaux, non classés ailleurs (O94-O99)",13,13,1.0,0,0,12,1,0,0,0,0.0,7.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
368,"Soins en chirurgie d'un jour","Traumatismes obstétricaux (P10-P15)",7,7,1.0,7,0,0,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
369,"Soins en chirurgie d'un jour","Affections concernant les téguments et la régulation thermique du foetus et du nouveau-né (P80-P83)",8,8,1.0,8,0,0,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
370,"Soins en chirurgie d'un jour","Autres affections dont l'origine se situe dans la période périnatale (P90-P96)",7,7,1.0,7,0,0,0,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
371,"Soins en chirurgie d'un jour","Malformations congénitales du système nerveux (Q00-Q07)",95,95,1.0,85,4,1,3,1,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
372,"Soins en chirurgie d'un jour","Malformations congénitales de l'oeil, de l'oreille, de la face et du cou (Q10-Q18)",890,890,1.0,559,238,48,19,14,12,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
