iddepoint,territoire,typeattrait,titre,theme,description,arrondissement,accessibilityofelement,adresse_autresinformations,annee,presencepanneauinterpretation,lienimage,liens,adresse,urlimage,latitude,longitude,X,Y,type_geometrie
1187,"Territoire riverain du port de Montréal","Secteur, zone","Terminaux à conteneurs internationaux","3 - L'eau, une ressource à exploiter et contrôler","Terminaux construits dans le cadre d'une expansion majeure du port au cours des années 1970. Après le déchargement des navires à l'aide de grues, les convois ferroviaires sont assemblés directement sur les terminaux et acheminés par les locomotives de l'Administration portuaire de Montréal (APM) jusqu'à la zone d'échange ferroviaire où ils sont attachés aux locomotives du Canadien National (CN) ou du Canadien Pacifique (CP). À l'inverse, les locomotives de l'APM prennent en charge les convois de conteneurs du CN et du CP qui arrivent au port et les mènent jusqu'aux terminaux où ils sont chargés à l'aide de grues sur des navires pouvant mesurer jusqu'à 300 mètres de longueur.","Mercier-Hochelaga-Maisonneuve (Montréal)","Visible","Terminaux construits dans le cadre d'une expansion majeure du port au cours des années 1970. Après le déchargement des navires à l'aide de grues, les convois ferroviaires sont assemblés directement sur les terminaux et acheminés par les locomotives de l'Administration portuaire de Montréal (APM) jusqu'à la zone d'échange ferroviaire où ils sont attachés aux locomotives du Canadien National (CN) ou du Canadien Pacifique (CP). À l'inverse, les locomotives de l'APM prennent en charge les convois de conteneurs du CN et du CP qui arrivent au port et les mènent jusqu'aux terminaux où ils sont chargés à l'aide de grues sur des navires pouvant mesurer jusqu'à 300 mètres de longueur.","Vers 1975","Non","https://www.flickr.com/photos/parcoursriverain/36204677545/in/album-72157686844706335/","http://www.port-montreal.com/fr/le-port-au-fil-de-son-histoire-a-propos.html","Montréal QC, Canada","https://farm5.staticflickr.com/4315/36204677545_1102a150e2_q.jpg",45.574299,-73.5121,303855.609364,5048265.647726,"Point"
1188,"Territoire riverain du canal de Lachine","Parc","Square Saint-Patrick","4b - Les parcs en rive","Square désigné en 1880 en raison de sa proximité avec la rue Saint-Patrick et la forte population irlandaise des quartiers avoisinants. La Ville de Montréal aménage ce terrain appartenant au Gouvernement du Bas Canada avec un bassin ornemental afin d’améliorer le milieu de vie de la population ouvrière du secteur. Vers 1909, le terrain est nivelé et équipé d’un terrain de balle. Au cours du 20e siècle, une section du terrain est utilisée comme dépotoir pour une fonderie. En 1995, la ville de Montréal prend possession du terrain. En 2017, le square fait l’objet d’un réaménagement qui consolide son usage de détente et de loisirs.","Le Sud-Ouest (Montréal)","Visible","Square désigné en 1880 en raison de sa proximité avec la rue Saint-Patrick et la forte population irlandaise des quartiers avoisinants. La Ville de Montréal aménage ce terrain appartenant au Gouvernement du Bas Canada avec un bassin ornemental afin d’améliorer le milieu de vie de la population ouvrière du secteur. Vers 1909, le terrain est nivelé et équipé d’un terrain de balle. Au cours du 20e siècle, une section du terrain est utilisée comme dépotoir pour une fonderie. En 1995, la ville de Montréal prend possession du terrain. En 2017, le square fait l’objet d’un réaménagement qui consolide son usage de détente et de loisirs.","1880","Non","https://www.flickr.com/photos/parcoursriverain/36204337725/in/album-72157684492129710/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4330/36204337725_548b5f4df6_q.jpg",45.489101,-73.557899,300274.268796,5038799.124924,"Point"
1189,"Territoire riverain du canal de Lachine","Tracé","Tracé de la rue Saint-Patrick","3b - Les villages ouvriers","Rue qui correspond plus ou moins à une voie plus ancienne : le chemin de la côte Saint-Paul, nommé aussi Middle Lachine Road. Sa partie est est tracée au moment du lotissement des terres de la ferme Saint-Gabriel par John Ostell en 1846. Le nom choisi rappelle la forte population irlandaise du secteur, Saint Patrick étant patron d’Irlande. Parallèle au canal, cette rue est rapidement bordée de diverses industries.","Le Sud-Ouest (Montréal)","Visible","Rue qui correspond plus ou moins à une voie plus ancienne : le chemin de la côte Saint-Paul, nommé aussi Middle Lachine Road. Sa partie est est tracée au moment du lotissement des terres de la ferme Saint-Gabriel par John Ostell en 1846. Le nom choisi rappelle la forte population irlandaise du secteur, Saint Patrick étant patron d’Irlande. Parallèle au canal, cette rue est rapidement bordée de diverses industries.","1856","Non","https://www.flickr.com/photos/parcoursriverain/35368010064/in/album-72157684492129710/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4303/35368010064_6faff8d3f9_q.jpg",,,,,"LineString"
1190,"Territoire riverain du canal de Lachine","Tracé","Tracé de la rue Wellington","2 - Les cours d'eau pour commercer et s'établir","Rue tracée un peu avant 1668 pour relier Ville-Marie et la Pointe-Saint-Charles. Parmi les plus anciennes routes de l’île de Montréal, elle est allongée progressivement près du fleuve pour rejoindre Lachine. Au 18e siècle, cette voie est l’une des plus importantes pour le transport de marchandises reliées à la traite des fourrures. Ce tronçon est renommé en 1817, en l’honneur d’Arthur Wellesley, duc de Wellington, général anglais qui a vaincu Napoléon 1er en 1815.","Le Sud-Ouest (Montréal)","Visible","Rue tracée un peu avant 1668 pour relier Ville-Marie et la Pointe-Saint-Charles. Parmi les plus anciennes routes de l’île de Montréal, elle est allongée progressivement près du fleuve pour rejoindre Lachine. Au 18e siècle, cette voie est l’une des plus importantes pour le transport de marchandises reliées à la traite des fourrures. Ce tronçon est renommé en 1817, en l’honneur d’Arthur Wellesley, duc de Wellington, général anglais qui a vaincu Napoléon 1er en 1815.","Vers 1668","Non","https://www.flickr.com/photos/parcoursriverain/35367994314/in/album-72157684492129710/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4316/35367994314_f232400900_q.jpg",,,,,"LineString"
1191,"Territoire riverain du port de Montréal","Parc","Belvédère du Chemin-qui-Marche","4b - Les parcs en rive","Belvédère construit en 2012 qui permet aux promeneurs d’avoir une magnifique vue sur le fleuve Saint-Laurent et le Vieux-Port. Son nom « Chemin-qui-Marche » est une expression descriptive et poétique désignant le fleuve, qui aurait son origine chez les Amérindiens occupant le territoire avant les explorateurs français. L’aménagement comporte des éléments d’interprétation historique.","Ville-Marie (Montréal)","Visible","Belvédère construit en 2012 qui permet aux promeneurs d’avoir une magnifique vue sur le fleuve Saint-Laurent et le Vieux-Port. Son nom « Chemin-qui-Marche » est une expression descriptive et poétique désignant le fleuve, qui aurait son origine chez les Amérindiens occupant le territoire avant les explorateurs français. L’aménagement comporte des éléments d’interprétation historique.","2012","Oui","https://www.flickr.com/photos/parcoursriverain/36037283902/in/album-72157686844706335/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4300/36037283902_ff5ba94000_q.jpg",45.512699,-73.549004,300971.217434,5041421.087306,"Point"
1192,"Territoire riverain du port de Montréal","Tracé","Tracé rue de la Commune","3 - L'eau, une ressource à exploiter et contrôler","Rue en bordure du Vieux-Port, dont le nom rappelle une bande de terre riveraine destinée à l'origine à faire paître en commun les animaux. Pendant les années 1670, un chemin désigné comme « chemin de la Grande Rivière » est ouvert sur le bord du fleuve. En 1685, la construction d'une première palissade ceinturant la ville fait disparaitre ce chemin. Après la démolition des fortifications en 1807, la rue des Commissaires est ouverte sur l’ancien tracé. Elle participe au décloisonnement de la ville et au développement du port. Elle prend le nom de rue de la Commune en 1970.","Ville-Marie (Montréal)","Visible","Rue en bordure du Vieux-Port, dont le nom rappelle une bande de terre riveraine destinée à l'origine à faire paître en commun les animaux. Pendant les années 1670, un chemin désigné comme « chemin de la Grande Rivière » est ouvert sur le bord du fleuve. En 1685, la construction d'une première palissade ceinturant la ville fait disparaitre ce chemin. Après la démolition des fortifications en 1807, la rue des Commissaires est ouverte sur l’ancien tracé. Elle participe au décloisonnement de la ville et au développement du port. Elle prend le nom de rue de la Commune en 1970.","1807","Non","https://www.flickr.com/photos/parcoursriverain/35399874573/in/album-72157686844706335/","http://www.vieux.montreal.qc.ca/inventaire/fiches/fiche_rue.php?id=12","Montréal QC, Canada","https://farm5.staticflickr.com/4304/35399874573_d7808903b7_q.jpg",,,,,"LineString"
1193,"Territoire riverain du port de Montréal","Tracé","Tracé de la rue Mill","3 - L'eau, une ressource à exploiter et contrôler","Rue ouverte en 1846 sur la Pointe-du-Moulin, pour desservir trois moulins à farine : Royal Mill, City Mill et Canal Mill. Ceux-ci utilisent alors l'énergie hydraulique désormais disponible pour actionner les machines nécessaires à leur production à grande échelle. On y retrouve toujours aujourd’hui certaines des plus imposantes structures industrielles patrimoniales de Montréal, dont l’imposant silo numéro 5 et l’usine de l’emblématique enseigne « Five Roses ».","Ville-Marie (Montréal)","Visible","Rue ouverte en 1846 sur la Pointe-du-Moulin, pour desservir trois moulins à farine : Royal Mill, City Mill et Canal Mill. Ceux-ci utilisent alors l'énergie hydraulique désormais disponible pour actionner les machines nécessaires à leur production à grande échelle. On y retrouve toujours aujourd’hui certaines des plus imposantes structures industrielles patrimoniales de Montréal, dont l’imposant silo numéro 5 et l’usine de l’emblématique enseigne « Five Roses ».","1844","Non","https://www.flickr.com/photos/parcoursriverain/36204332125/in/album-72157684492129710/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4304/36204332125_ce045e0345_q.jpg",,,,,"LineString"
1194,"Territoire riverain du port de Montréal","Parc","Parc de Dieppe","4b - Les parcs en rive","Parc aménagé en 1986 par les architectes paysagistes Jacques Beaulieu et Marc Roger. Il se distingue par la magnifique vue sur Montréal et le fleuve Saint-Laurent qu’il offre depuis ses pavillons. Ce parc est le lieu choisi pour commémorer le raid de Dieppe, le 19 août 1942, un moment déterminant de la Seconde Guerre mondiale.","Ville-Marie (Montréal)","Visible","Parc aménagé en 1986 par les architectes paysagistes Jacques Beaulieu et Marc Roger. Il se distingue par la magnifique vue sur Montréal et le fleuve Saint-Laurent qu’il offre depuis ses pavillons. Ce parc est le lieu choisi pour commémorer le raid de Dieppe, le 19 août 1942, un moment déterminant de la Seconde Guerre mondiale.","1986","Non","https://www.flickr.com/photos/parcoursriverain/35811723220/in/album-72157686844706335/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?zone=oui&requete=simple&id=1142","Montréal QC, Canada","https://farm5.staticflickr.com/4303/35811723220_9c7e6a493f_q.jpg",45.5065,-73.543297,301416.732631,5040731.945359,"Point"
1195,"Territoire riverain du port de Montréal","Secteur, zone","Cité du Havre","0 - Autre élément notable sans lien avec les thèmes historiques","Site aménagé pour l’Expo 67 sur la jetée Mackay. Celle-ci est alors rallongée de 750 mètres, rehaussée de 3 mètres et reliée à l’île Sainte-Hélène par le pont de la Concorde. C’est lors de l’Expo qu’elle est renommée Cité du Havre et que des pavillons temporaires et des jardins y sont aménagés. Il subsiste aujourd’hui quelques témoins de l’Expo : Habitat 67, le musée d’art, l’Expo-Théâtre ainsi que des sentiers et des aménagements paysagers.","Ville-Marie (Montréal)","Visible","Site aménagé pour l’Expo 67 sur la jetée Mackay. Celle-ci est alors rallongée de 750 mètres, rehaussée de 3 mètres et reliée à l’île Sainte-Hélène par le pont de la Concorde. C’est lors de l’Expo qu’elle est renommée Cité du Havre et que des pavillons temporaires et des jardins y sont aménagés. Il subsiste aujourd’hui quelques témoins de l’Expo : Habitat 67, le musée d’art, l’Expo-Théâtre ainsi que des sentiers et des aménagements paysagers.","1967","Non","https://www.flickr.com/photos/parcoursriverain/36037284382/in/album-72157686844706335/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?zone=oui&requete=simple&id=1142, http://ville.montreal.qc.ca/pls/portal/docs/PAGE/PATRIMOINE_URBAIN_FR/MEDIA/DOCUMENTS/%C9NONC%C9%20FINAL_CIT%C9%20DU%20HAVRE.PDF","Montréal QC, Canada","https://farm5.staticflickr.com/4327/36037284382_9a24013cbc_q.jpg",45.497898,-73.5438,301376.864122,5039776.006511,"Point"
1196,"Territoire riverain du port de Montréal","Bâtiment, élément","Édifice du port de Montréal","3 - L'eau, une ressource à exploiter et contrôler","Ancien pavillon de l’administration et de la presse construit pour l’Exposition universelle de 1967 et acquis en 1968 par l’Administration du Port de Montréal. Le bâtiment est conçu par les architectes Irving Grossman, Roy Brown et Bernard Gillespie, et se situe à l’entrée du site de l’Expo. À l’origine, ce pavillon abrite entre autres : les bureaux de l’administration et de l’exécutif de la Compagnie canadienne de l’exposition universelle de 1967, les bureaux du personnel qui supervise la réalisation de tous les pavillons de l’Expo, le centre de diffusion de la télévision et de la radio. Depuis plus de 50 ans maintenant, ce bâtiment est le centre décisionnel des activités du port de Montréal.","Ville-Marie (Montréal)","Visible","Ancien pavillon de l’administration et de la presse construit pour l’Exposition universelle de 1967 et acquis en 1968 par l’Administration du Port de Montréal. Le bâtiment est conçu par les architectes Irving Grossman, Roy Brown et Bernard Gillespie, et se situe à l’entrée du site de l’Expo. À l’origine, ce pavillon abrite entre autres : les bureaux de l’administration et de l’exécutif de la Compagnie canadienne de l’exposition universelle de 1967, les bureaux du personnel qui supervise la réalisation de tous les pavillons de l’Expo, le centre de diffusion de la télévision et de la radio. Depuis plus de 50 ans maintenant, ce bâtiment est le centre décisionnel des activités du port de Montréal.","1966","Non","https://www.flickr.com/photos/parcoursriverain/35368274074/in/album-72157686844706335/","http://ville.montreal.qc.ca/pls/portal/docs/page/cons_pat_mtl_fr/media/documents/partie_ii_le_secteur_de_la_cite_du_havre_2.PDF","2100, Avenue Pierre-Dupuy  Montréal QC, Canada","https://farm5.staticflickr.com/4309/35368274074_88fa847696_q.jpg",45.490799,-73.542,301517.169335,5038987.000347,"Point"
1197,"Territoire riverain du port de Montréal","Plaque, monument","Monument à John Young","3 - L'eau, une ressource à exploiter et contrôler","Monument-fontaine créé par Louis-Philippe Hébert en collaboration avec les architectes Edward et William Sutherland Maxwell. Il est d’abord installé à l'extrémité de la pointe à Callière en 1908 à l’occasion du centième anniversaire de la naissance de John Young, en 1911. En 1997, le monument est déplacé devant l’édifice Allan occupé par la Société du Vieux-Port de Montréal. Écossais établi à Montréal vers 1830, John Young est un marchand et entrepreneur reconnu pour son rôle majeur dans l’évolution du port de Montréal notamment comme président de la Commission du Havre.","Ville-Marie (Montréal)","Visible","Monument-fontaine créé par Louis-Philippe Hébert en collaboration avec les architectes Edward et William Sutherland Maxwell. Il est d’abord installé à l'extrémité de la pointe à Callière en 1908 à l’occasion du centième anniversaire de la naissance de John Young, en 1911. En 1997, le monument est déplacé devant l’édifice Allan occupé par la Société du Vieux-Port de Montréal. Écossais établi à Montréal vers 1830, John Young est un marchand et entrepreneur reconnu pour son rôle majeur dans l’évolution du port de Montréal notamment comme président de la Commission du Havre.","1908","Non","https://www.flickr.com/photos/parcoursriverain/35399882463/in/album-72157686844706335/","http://www.vieux.montreal.qc.ca/inventaire/fiches/fiche_art.php?id=5, http://www.biographi.ca/fr/bio/young_john_1811_1878_10F.html","Montréal QC, Canada","https://farm5.staticflickr.com/4326/35399882463_db70d7af3c_q.jpg",45.500099,-73.553398,300626.930058,5040021.067264,"Point"
1198,"Territoire riverain du port de Montréal","Plaque, monument",,"3 - L'eau, une ressource à exploiter et contrôler","Plaque commémorant l’héroïsme et le courage des marins lors de la guerre 1914-1918 et celle de 1939-1945. Installée vers 1922, un ajout a été fait après la Deuxième Guerre mondiale. Elle fut commandée par la Commission du havre de Montréal.","Ville-Marie (Montréal)","Visible","Plaque commémorant l’héroïsme et le courage des marins lors de la guerre 1914-1918 et celle de 1939-1945. Installée vers 1922, un ajout a été fait après la Deuxième Guerre mondiale. Elle fut commandée par la Commission du havre de Montréal.","Vers 1922","Non","https://www.flickr.com/photos/parcoursriverain/36548767230/in/album-72157686844706335/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4416/36548767230_c00112df6e_q.jpg",45.512299,-73.545799,301221.556159,5041376.4269,"Point"
1199,"Territoire riverain du port de Montréal","Plaque, monument",,"3 - L'eau, une ressource à exploiter et contrôler","Plaque commémorant les marins de la marine marchande morts lors des guerres 1914-1918, 1939-1945 et 1950-1953.","Ville-Marie (Montréal)","Visible","Plaque commémorant les marins de la marine marchande morts lors des guerres 1914-1918, 1939-1945 et 1950-1953.",,"Non","https://www.flickr.com/photos/parcoursriverain/36757281836/in/album-72157686844706335/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4342/36757281836_c3950f8bf3_q.jpg",45.512299,-73.545799,301221.556159,5041376.4269,"Point"
1200,"Territoire riverain du port de Montréal","Plaque, monument",,"3 - L'eau, une ressource à exploiter et contrôler","Plaque commémorant les deux premiers bateaux ayant traversé d’Europe vers Chicago. Elle est apposée en 1964 par des citoyens canadiens et norvégiens.","Ville-Marie (Montréal)","Visible","Plaque commémorant les deux premiers bateaux ayant traversé d’Europe vers Chicago. Elle est apposée en 1964 par des citoyens canadiens et norvégiens.","1964","Non","https://www.flickr.com/photos/parcoursriverain/36757279346/in/album-72157686844706335/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4420/36757279346_67d63c50d8_q.jpg",45.512299,-73.545799,301221.556159,5041376.4269,"Point"
1201,"Territoire riverain du port de Montréal","Plaque, monument",,"0 - Autre élément notable sans lien avec les thèmes historiques","Plaque commémorant les différents bâtiments érigés à cet emplacement avant le marché Bonsecours. Apposée par la Commission des monuments historiques.","Ville-Marie (Montréal)","Visible","Plaque commémorant les différents bâtiments érigés à cet emplacement avant le marché Bonsecours. Apposée par la Commission des monuments historiques.",,"Non","https://www.flickr.com/photos/parcoursriverain/36548771750/in/album-72157686844706335/",,"350, rue Saint-Paul  Montréal QC, Canada","https://farm5.staticflickr.com/4351/36548771750_e0de9bda78_q.jpg",45.509602,-73.551201,300799.31974,5041076.963413,"Point"
1202,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"2 - Les cours d'eau pour commercer et s'établir","Croix de chemin implantée à l'origine au croisement du boulevard Gouin et du boulevard Pie-IX, à la limite entre deux paroisse. Sa localisation le long du boulevard Gouin, l'une des premières côtes au nord de l'île, souligne le caractère rural de ce secteur au moment de son érection. Elle est déplacée à ce nouvel emplacement au moment du réaménagement complet du carrefour. Son format et son iconographie sont typiques des croix érigées dans le premier quart du 20e siècle.","Montréal-Nord (Montréal)","Visible","Croix de chemin implantée à l'origine au croisement du boulevard Gouin et du boulevard Pie-IX, à la limite entre deux paroisse. Sa localisation le long du boulevard Gouin, l'une des premières côtes au nord de l'île, souligne le caractère rural de ce secteur au moment de son érection. Elle est déplacée à ce nouvel emplacement au moment du réaménagement complet du carrefour. Son format et son iconographie sont typiques des croix érigées dans le premier quart du 20e siècle.","Début du 20e siècle","Non","https://www.flickr.com/photos/parcoursriverain/38294382101/in/datetaken-public/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4529/38294382101_212e6f7429_q.jpg",45.599701,-73.643204,293628.361626,5051098.537428,"Point"
1203,"Territoire riverain du port de Montréal","Bâtiment, élément","Pont de la Concorde","5 - L'eau, un obstacle à franchir par ponts et traverses","Construit en 1965, ce pont relie l’extrémité de la cité du Havre (avenue Pierre-Dupuy) et l’île Sainte-Hélène. Il est conçu par les ingénieurs montréalais Beaulieu, Trudeau et associés pour l’Exposition universelle de Montréal de 1967. À l'origine, les visiteurs de l’Exposition universelle peuvent le traverser en voiture, à pied ou avec l'Expo-Express.","Ville-Marie (Montréal)","Visible","Construit en 1965, ce pont relie l’extrémité de la cité du Havre (avenue Pierre-Dupuy) et l’île Sainte-Hélène. Il est conçu par les ingénieurs montréalais Beaulieu, Trudeau et associés pour l’Exposition universelle de Montréal de 1967. À l'origine, les visiteurs de l’Exposition universelle peuvent le traverser en voiture, à pied ou avec l'Expo-Express.","1965","Non","https://www.flickr.com/photos/parcoursriverain/35399870983/in/album-72157686844706335/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4313/35399870983_29daca8d45_q.jpg",45.505798,-73.539902,301681.989736,5040653.804946,"Point"
1204,"Territoire riverain du canal de Lachine","Plaque, monument","Monument commémoratif aux victimes du typhus","0 - Autre élément notable sans lien avec les thèmes historiques","Pierre commémorative érigée à la mémoire des immigrants victimes du typhus de 1847-1848 et inhumés à cet emplacement. Dès 1845, la famine en Irlande pousse des centaines de milliers d'Irlandais à émigrer. Malgré la quarantaine à Grosse-île, plusieurs présentent des symptômes de la maladie à leur arrivée à Montréal. Des baraques pour soigner les malades sont donc construites à la hâte sur le terrain des sœurs Grises à la Pointe-Saint-Charles. 11 000 personnes y sont hospitalisées. L’épidémie fait 6 000 morts parmi les immigrants et les soignants dont le maire de l’époque, John Easton Mills qui s’était porté volontaire pour soigner les malades. En 1859, lors de la construction du pont Victoria, des ouvriers découvrent l'ancien cimetière. Touchés par cette découverte, ils érigent cette roche noire (Black Rock) tirée du lit du fleuve pour protéger le lieu de la profanation.","Le Sud-Ouest (Montréal)","Visible","Pierre commémorative érigée à la mémoire des immigrants victimes du typhus de 1847-1848 et inhumés à cet emplacement. Dès 1845, la famine en Irlande pousse des centaines de milliers d'Irlandais à émigrer. Malgré la quarantaine à Grosse-île, plusieurs présentent des symptômes de la maladie à leur arrivée à Montréal. Des baraques pour soigner les malades sont donc construites à la hâte sur le terrain des sœurs Grises à la Pointe-Saint-Charles. 11 000 personnes y sont hospitalisées. L’épidémie fait 6 000 morts parmi les immigrants et les soignants dont le maire de l’époque, John Easton Mills qui s’était porté volontaire pour soigner les malades. En 1859, lors de la construction du pont Victoria, des ouvriers découvrent l'ancien cimetière. Touchés par cette découverte, ils érigent cette roche noire (Black Rock) tirée du lit du fleuve pour protéger le lieu de la profanation.","1859","Non","https://www.flickr.com/photos/parcoursriverain/36037024542/in/album-72157684492129710/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4321/36037024542_675f004dd2_q.jpg",45.486801,-73.546402,301172.826779,5038542.912969,"Point"
1205,"Territoire riverain du canal de Lachine","Bâtiment, élément","Pont Victoria","5 - L'eau, un obstacle à franchir par ponts et traverses","Premier pont ferroviaire traversant le Saint-Laurent, construit pour la Compagnie du Grand Tronc de chemin de fer du Canada entre 1854 et 1859, sous la direction de l’ingénieur James Hodges de la firme britannique Peto, Brassey et Betts. Conçu par les ingénieurs Alexander Ross et Robert Stevenson. Long de 3 km, il est au moment de sa construction le plus long pont ferroviaire au monde et l’une des plus grandes innovations technologiques de son époque. Il est inauguré en 1860 par le fils de la Reine Victoria, le prince de Galles (Édouard VII). Seul accès à la Rive-Sud jusqu’en 1930, il contribue grandement au développement économique et urbain de Montréal. Deux voies ferrées et deux voies latérales pour les véhicules et les piétons sont construites en 1898, et il est alors renommé Victoria Jubilee Bridge. Ses dernières modifications majeures ont lieu vers 1960 pour l’ajuster à la Voie maritime du Saint-Laurent. Il reprend le nom de pont Victoria en 1978.","Le Sud-Ouest (Montréal)","Visible","Premier pont ferroviaire traversant le Saint-Laurent, construit pour la Compagnie du Grand Tronc de chemin de fer du Canada entre 1854 et 1859, sous la direction de l’ingénieur James Hodges de la firme britannique Peto, Brassey et Betts. Conçu par les ingénieurs Alexander Ross et Robert Stevenson. Long de 3 km, il est au moment de sa construction le plus long pont ferroviaire au monde et l’une des plus grandes innovations technologiques de son époque. Il est inauguré en 1860 par le fils de la Reine Victoria, le prince de Galles (Édouard VII). Seul accès à la Rive-Sud jusqu’en 1930, il contribue grandement au développement économique et urbain de Montréal. Deux voies ferrées et deux voies latérales pour les véhicules et les piétons sont construites en 1898, et il est alors renommé Victoria Jubilee Bridge. Ses dernières modifications majeures ont lieu vers 1960 pour l’ajuster à la Voie maritime du Saint-Laurent. Il reprend le nom de pont Victoria en 1978.","1860","Non","https://www.flickr.com/photos/parcoursriverain/36069789571/in/album-72157686844706335/","http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=190922&type=bien#.Weje61v9Syo","Montréal QC, Canada","https://farm5.staticflickr.com/4330/36069789571_cce7462a38_q.jpg",45.489101,-73.537201,301892.177443,5038798.167411,"Point"
1206,"Territoire riverain du port de Montréal","Bâtiment, élément","Musée Pointe-à-Callière","2 - Les cours d'eau pour commercer et s'établir","Musée d'archéologie et d'histoire, construit en 1992 à l'occasion du 350e de la Ville de Montréal. Aussi nommée l'Éperon, l'architecture du bâtiment principal du musée, une œuvre de l'architecte Dan Hanganu, est inspirée de l'Insurance Building, un prestigieux établissement qui a occupé cet emplacement pendant près de 100 ans. Le musée met en valeur le lieu de fondation de Montréal et 1000 ans d'activité humaine sur son site.","Ville-Marie (Montréal)","Visible","Musée d'archéologie et d'histoire, construit en 1992 à l'occasion du 350e de la Ville de Montréal. Aussi nommée l'Éperon, l'architecture du bâtiment principal du musée, une œuvre de l'architecte Dan Hanganu, est inspirée de l'Insurance Building, un prestigieux établissement qui a occupé cet emplacement pendant près de 100 ans. Le musée met en valeur le lieu de fondation de Montréal et 1000 ans d'activité humaine sur son site.","1992","Non","http://exemple.com","https://pacmusee.qc.ca/fr/, http://www.vieux.montreal.qc.ca/inventaire/fiches/fiche_bat.php?sec=i&num=39","350, Place Royale  Montréal QC, Canada",,45.502701,-73.554199,300564.52014,5040310.228815,"Point"
1207,"Territoire riverain du port de Montréal","Cours d'eau","Courant Sainte-Marie","1 - L'archipel montréalais et la présence amérindienne","Fort courant créé par le rétrécissement du fleuve Saint-Laurent au niveau de l'île Sainte-Hélène. En 1744, Nicolas Bellin nomme cette entité Rapide de Sainte-Marie puisque le courant est situé près de la Côte Sainte-Marie en bordure du fleuve. Plus tard, le courant donne son nom faubourg Sainte-Marie.","Ville-Marie (Montréal)","Visible","Fort courant créé par le rétrécissement du fleuve Saint-Laurent au niveau de l'île Sainte-Hélène. En 1744, Nicolas Bellin nomme cette entité Rapide de Sainte-Marie puisque le courant est situé près de la Côte Sainte-Marie en bordure du fleuve. Plus tard, le courant donne son nom faubourg Sainte-Marie.",,"Non","https://www.flickr.com/photos/parcoursriverain/36204704615/in/album-72157686844706335/",,"Montréal QC, Canada","https://farm5.staticflickr.com/4303/36204704615_0914a726c4_q.jpg",45.511101,-73.5411,301588.691338,5041243.114276,"Point"
1208,"Territoire riverain du port de Montréal","Bâtiment, élément","Prison des Patriotes-au-Pied-du-Courant","0 - Autre élément notable sans lien avec les thèmes historiques","Prison conçue par les architectes Georges Blaiklock et John Wells. Environ 1 300 patriotes y sont enfermés entre 1836 et 1838 et une douzaine y sont ensuite exécutés. La prison ferme en 1912 et devient le siège social de la Commission des Liqueurs (Société des Alcools du Québec) en 1921. L'aile arrière qui était réservée aux femmes jusqu'en 1876 est ensuite démolie. En 1978, la prison est classée monument historique. Aujourd'hui, elle est occupée par la Société des Alcools du québec et par le centre d’interprétation La Prison des Patriotes sur les rébellions de 1837-1838.","Ville-Marie (Montréal)","Visible","Prison conçue par les architectes Georges Blaiklock et John Wells. Environ 1 300 patriotes y sont enfermés entre 1836 et 1838 et une douzaine y sont ensuite exécutés. La prison ferme en 1912 et devient le siège social de la Commission des Liqueurs (Société des Alcools du Québec) en 1921. L'aile arrière qui était réservée aux femmes jusqu'en 1876 est ensuite démolie. En 1978, la prison est classée monument historique. Aujourd'hui, elle est occupée par la Société des Alcools du québec et par le centre d’interprétation La Prison des Patriotes sur les rébellions de 1837-1838.","1831-1840","Non","https://www.flickr.com/photos/parcoursriverain/35811716850/in/album-72157686844706335/","http://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=92595&type=bien#.WekKPFv9Syo, http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?&id_bat=0142-14-3039-01","903, avenue De Lorimier  Montréal QC, Canada","https://farm5.staticflickr.com/4323/35811716850_f7478888c3_q.jpg",45.523602,-73.546303,301182.937195,5042632.554939,"Point"
