TITRE_ORIGINAL,TITRE_FRANCAIS,TITRE_ANGLAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNEE_PRODUCTION,GENRE,SOURCE,AUTEUR_1,AUTEUR_2,AUTEUR_3,AUTEUR_4,UUID_MEDIAFILM,UUID_IMDB,UUID_WIKIDATA 
Show Boat,,Show Boat,US,,,,,,1936,ComÃ©die musicale,Oeuvre,Oscar Hammerstein II,,,,mf-tt-8355228530,tt0028249,Q15146913
"Show, The","Morsure, La","Show, The",US,,,,,,1927,Drame,Roman,Charles Tenney Jackson,,,,mf-tt-4494053417,tt0018397,Q18636635
Shrek Forever After,Shrek 4 - Il Ã©tait une fin,Shrek Forever After,US,,,,,,2010,Film d'animation,Livre,William Steig,,,,mf-tt-2096047525,tt0892791,
Shutter Island,Shutter Island,Shutter Island,US,,,,,,2009,Drame policier,Roman,Dennis Lehane,,,,mf-tt-5509370795,tt1130884,
Si le soleil ne revenait pas,Si le soleil ne revenait pas,,CH,,,,,,1987,Ãtude de moeurs,Roman,Charles Ferdinand Ramuz,,,,mf-tt-1250578161,tt0093965,
"Sia, le rÃªve du python","Sia, le rÃªve du python","Sia, the Dream of the Python",BF,,,,,,2000,Conte,PiÃ¨ce,Moussa Diagana,,,,mf-tt-7428309834,tt0290858,
Sibirska Ledi Magbet,Lady Macbeth sibÃ©rienne,Siberian Lady Macbeth,YU,,,,,,1962,Drame,PiÃ¨ce,William Shakespeare,,,,mf-tt-5089178311,,Q2401810
"Sicilian, The","Sicilien, Le","Sicilian, The",US,,,,,,1987,Drame social,Roman,Mario Puzo,,,,mf-tt-6300961116,tt0093966,Q60439194
Sideways,Ã la dÃ©rive,Sideways,US,,,,,,2004,ComÃ©die dramatique,Roman,Rex Pickett,,,,mf-tt-7101216824,tt0375063,Q1750118
Sidney Sheldon's A Stranger in the Mirror,Au-delÃ  du mirroir,Sidney Sheldon's A Stranger in the Mirror,US,,,,,,1993,Drame,Roman,Sidney Sheldon,,,,mf-tt-1833790405,,
Sidney Sheldon's Memories of Midnight,Quand reviendra le jour,Memories of Midnight,US,,,,,,1991,MÃ©lodrame,Roman,Sidney Sheldon,,,,mf-tt-7703515289,,
Sidney Sheldon's Nothing Lasts Forever,Mort clinique,Sidney Sheldon's Nothing Lasts Forever,US,,,,,,1995,Drame social,Roman,Sidney Sheldon,,,,mf-tt-1502029782,,Q3471330
"Siffleur, Le","Siffleur, Le",,FR,,,,,,2009,ComÃ©die,Roman,Laurent Chalumeau,,,,mf-tt-9388958088,tt1318037,Q1413227
"Sign of Four, The","Signe des quatre, Le","Sign of Four, The",CA,,,,,,2001,Drame policier,Roman,Arthur Conan Doyle,,,,mf-tt-2762953148,tt0270645,
"Sign of Three, The","Signe des trois, Le","Sign of Three, The",GB,,,,,,2014,Drame policier,Oeuvre,Arthur Conan Doyle,,,,mf-tt-8070883252,,Q4807884
SignÃ© Picpus,SignÃ© Picpus,,FR,,,,,,2003,Drame policier,Roman,Georges Simenon,,,,mf-tt-1020046687,,Q19865453
SignÃ©: ArsÃ¨ne Lupin,SignÃ©: ArsÃ¨ne Lupin,,FR,IT,,,,,1959,ComÃ©die policiÃ¨re,Roman,Maurice Leblanc,,,,mf-tt-9018073418,tt0052578,Q3235471
Silence,Silence,Silence,US,IT,MX,JP,,,2016,Drame historique,Roman,Shusaku Endo,,,,mf-tt-9305098069,tt0490215,
"Silence de la mer, Le","Silence de la mer, Le",,FR,,,,,,1948,Drame psychologique,Roman,Vercors,,,,mf-tt-5217679811,tt0039822,Q380349
"Silence of the Lambs, The","Silence des agneaux, Le","Silence of the Lambs, The",US,,,,,,1991,Drame policier,Roman,Thomas Harris,,,,mf-tt-9897323082,tt0102926,Q1090970
"Silence, The",,"Silence, The",US,,,,,,2019,Drame d'horreur,Roman,Tim Lebbon,,,,mf-tt-0006316229,tt7315484,Q3795190
"Silencieux, Le","Silencieux, Le","Great Manhunt, The",FR,IT,,,,,1973,Drame d'espionnage,Roman,Francis Ryck,,,,mf-tt-7123685836,,Q3037273
Silent City,,,DK,,,,,,2012,,Roman,Threes Anna,,,,mf-tt-5908936111,tt2113766,Q445795
"Silent Partner, The","Argent de la banque, L'","Silent Partner, The",CA,,,,,,1978,Drame policier,Roman,Anders Bodelsen,,,,mf-tt-4886046514,tt0078269,Q18415267
Silent Voices,Voix silencieuses,Silent Voices,GB,,,,,,2012,Drame policier,Roman,Ann Cleeves,,,,mf-tt-2040774562,,Q3208858
Silk,Soie,Silk,CA,QC,JP,GB,IT,,2007,Drame psychologique,Roman,Alessandro Baricco,,,,mf-tt-5066001756,tt0494834,Q7770736
Silver Linings Playbook,"Bon CÃ´tÃ© des choses, Le",Silver Linings Playbook,US,,,,,,2012,ComÃ©die dramatique,Roman,Matthew Quick,,,,mf-tt-5201915264,tt1045658,
"Simple Favor, A","Petite Faveur, Une","Simple Favor, A",US,,,,,,2018,ComÃ©die policiÃ¨re,Roman,Darcey Bell,,,,mf-tt-8407545473,tt7040874,Q535395
"Simple Plan, A","Plan simple, Un","Simple Plan, A",US,,,,,,1998,Drame policier,Roman,Scott B. Smith,,,,mf-tt-6624076471,tt0120324,Q74636
Simple Question de temps,Simple Question de temps,,FR,,,,,,2012,ComÃ©die dramatique,Roman,James Hadley Chase,,,,mf-tt-6830408142,tt2183170,Q30895665
Sin City,Une Histoire de Sin City,Sin City,US,,,,,,2005,Thriller,Oeuvre,Frank Miller,,,,mf-tt-7227447552,tt0401792,Q632328
Sin City - A Dame to Kill For,Sin City - J'ai tuÃ© pour elle,Sin City - A Dame to Kill For,US,,,,,,2014,Thriller,Oeuvre,Frank Miller,,,,mf-tt-2519205112,tt0458481,Q3235225
"Singe en hiver, Un","Singe en hiver, Un",,FR,,,,,,1962,ComÃ©die de moeurs,Roman,Antoine Blondin,,,,mf-tt-9900214533,tt0056636,Q19867188
"Single Man, A","Homme au singulier, Un","Single Man, A",US,,,,,,2009,Drame psychologique,Roman,Christopher Isherwood,,,,mf-tt-3113270532,tt1315981,
Single White Female,Jeune femme cherche colocataire,Single White Female,US,,,,,,1992,Drame psychologique,Roman,John Lutz,,,,mf-tt-8487049914,tt0105414,Q125076
Siren of Atlantis,"Atlantide, L'",Siren of Atlantis,US,,,,,,1948,Science-fiction,Roman,Pierre BenoÃ®t,,,,mf-tt-4918221518,tt0040794,
Sister My Sister,,Sister My Sister,GB,,,,,,1994,Drame de moeurs,PiÃ¨ce,Wendy Kesselman,,,,mf-tt-3343307798,tt0111205,Q956681
"Sisters Brothers, The","FrÃ¨res Sisters, Les","Sisters Brothers, The",FR,US,ES,RO,,,2018,Western,Roman,Patrick Dewitt,,,,mf-tt-0769719790,tt4971344,
"Sisters, The","Soeurs, Les","Sisters, The",US,,,,,,2005,Drame psychologique,PiÃ¨ce,Anton Tchekhov,,,,mf-tt-7044340900,tt0407205,Q2808299
"Sisters, The",Nuits de bal,"Sisters, The",US,,,,,,1939,Drame,Roman,Myron Brinig,,,,mf-tt-2993558254,tt0030755,Q1167859
"Situation est grave... mais pas dÃ©sespÃ©rÃ©e!, La","Situation est grave... mais pas dÃ©sespÃ©rÃ©e!, La",,FR,,,,,,1976,ComÃ©die,PiÃ¨ce,Pierre Germont,,,,mf-tt-9853127325,tt0156083,Q276299
Six-Pack,Six-Pack,,FR,,,,,,2000,Thriller,Roman,Jean-Hugues Oppel,,,,mf-tt-1941766531,tt0221554,Q976558
Skeezer,Coquine,Skeezer,US,,,,,,1982,Drame psychologique,Roman,Elizabeth Yates,,,,mf-tt-8977000016,tt0084692,Q3348647
"Ski Bum, The",,"Ski Bum, The",US,,,,,,1970,Drame,Roman,Romain Gary,,,,mf-tt-4712534526,tt0067761,Q3236490
Skins,,Skins,US,,,,,,2002,Drame social,Roman,Adrian C. Louis,,,,mf-tt-2646501739,tt0284494,Q3227004
Skyfall,007 Skyfall,Skyfall,GB,US,,,,,2012,Drame d'espionnage,Oeuvre,Ian Fleming,,,,mf-tt-6214222669,tt1074638,Q8561227
Slattery's Hurricane,"Furie des tropiques, La",Slattery's Hurricane,US,,,,,,1949,Drame,Roman,Herman Wouk,,,,mf-tt-1697901500,tt0041883,
Sleeping Beauty,"Belle au bois dormant, La",Sleeping Beauty,US,,,,,,1958,Film d'animation,Oeuvre,Charles Perrault,,,,mf-tt-3038671857,,Q3098682
Sleeping Beauty,"Belle au bois dormant: la malÃ©diction, La",Sleeping Beauty,US,,,,,,2014,Drame fantastique,Oeuvre,Wilhelm Grimm,Jacob Grimm,,,mf-tt-0120209905,tt0034501,Q19335817
Sleeping Murder,,Sleeping Murder,GB,,,,,,1986,Drame policier,Roman,Agatha Christie,,,,mf-tt-3081121495,,Q481851
Sleeping With the Enemy,"Nuits avec mon ennemi, Les",Sleeping With the Enemy,US,,,,,,1991,Thriller,Roman,Nancy Price,,,,mf-tt-9204883105,tt0102945,Q5928100
"Slender Thread, The",30 Minutes de sursis,"Slender Thread, The",US,,,,,,1965,Drame psychologique,Oeuvre,Shana Alexander,,,,mf-tt-5484936100,tt0059729,
Sleuth,,Sleuth,GB,,,,,,2007,Thriller,PiÃ¨ce,Anthony Shaffer,,,,mf-tt-5991205591,tt0857265,
Sleuth,"Limier, Le",Sleuth,GB,,,,,,1972,ComÃ©die policiÃ¨re,PiÃ¨ce,Anthony Shaffer,,,,mf-tt-3055199194,tt0069281,Q3507417
"Slipping-Down Life, A",,"Slipping-Down Life, A",US,,,,,,1999,Drame sentimental,Roman,Anne Tyler,,,,mf-tt-1359608021,tt0162662,Q11887276
Slumdog Millionaire,"Pouilleux millionnaire, Le",Slumdog Millionaire,GB,IN,,,,,2008,ComÃ©die dramatique,Roman,Vikas Swarup,,,,mf-tt-1621824556,tt1010048,Q483941
Small Apartments,Petits Appartements,Small Apartments,US,,,,,,2012,ComÃ©die de moeurs,Roman,Chris Millis,,,,mf-tt-7835912987,tt1272886,Q3186820
Smallfoot,"Abominables petits-pieds, Les",Smallfoot,US,,,,,,2018,Film d'animation,Livre,Sergio Pablos,,,,mf-tt-8367457267,tt6182908,
Smoking,Smoking,,FR,IT,,,,,1993,ComÃ©die dramatique,PiÃ¨ce,Alan Ayckbourn,,,,mf-tt-7787764561,,
Smrt u Sarajevu,,Death in Sarajevo,FR,BA,,,,,2016,Drame politique,PiÃ¨ce,Bernard-Henri LÃ©vy,,,,mf-tt-1567300352,tt4466648,Q3221595
SMS,SMS,,FR,,,,,,2014,ComÃ©die,Roman,Laurent BÃ©nÃ©gui,,,,mf-tt-8944573829,tt3253750,Q6875191
Smuga cienia,"Ligne d'ombre, La","Shadow Line, The",GB,PL,,,,,1976,Drame psychologique,Roman,Joseph Conrad,,,,mf-tt-5738774853,tt0075238,
"Smugglers, The",,"Smugglers, The",US,,,,,,1969,ComÃ©die policiÃ¨re,Roman,Elizabeth Hely,,,,mf-tt-8501716227,tt0007360,Q309248
"Smurfs, The","Schtroumpfs, Les","Smurfs, The",US,,,,,,2011,ComÃ©die fantaisiste,Oeuvre,Peyo ,,,,mf-tt-4481050213,tt0472181,Q2716956
Snabba Cash,"Argent facile, L'",Easy Money,SE,,,,,,2010,Thriller,Roman,Jens Lapidus,,,,mf-tt-2074394636,tt1291652,Q1197830
"Snake Pit, The","Fosse aux serpents, La","Snake Pit, The",US,,,,,,1948,Drame psychologique,Roman,Mary Jane Ward,,,,mf-tt-1451453940,tt0040806,Q10307713
Sniper - Ghost Shooter,Sniper 6 - Tireur fantÃ´me,Sniper - Ghost Shooter,US,,,,,,2016,Thriller,Oeuvre,Crash Leyland,Michael Frost Beckner,,,mf-tt-5207120336,tt5090828,Q3557818
Snow Flower and the Secret Fan,Fleur de neige et l'Ã©ventail secret,Snow Flower and the Secret Fan,CN,,,,,,2011,Drame historique,Roman,Lisa See,,,,mf-tt-3674341178,tt1541995,Q261546
"Snowman, The","Bonhomme de neige, Le","Snowman, The",GB,SE,US,,,,2017,Drame policier,Roman,Jo Nesbo,,,,mf-tt-1020623291,tt1758810,
Snowpiercer,Snowpiercer - Le Transperce-neige,Snowpiercer,KP,CZ,US,FR,,,2013,Science-fiction,Oeuvre,Benjamin Legrand,Jean-Marc Rochette,Jacques Lob,,mf-tt-1927116791,tt1706620,
"Snows of Kilimanjaro, The","Neiges du Kilimandjaro, Les","Snows of Kilimanjaro, The",US,,,,,,1952,Drame psychologique,Roman,Ernest Hemingway,,,,mf-tt-4101096085,tt0045162,Q776472
So This Is New York,,So This Is New York,US,,,,,,1948,ComÃ©die de moeurs,Roman,Ring Lardner,,,,mf-tt-2414019651,tt0040810,Q782059
So Well Remembered,,So Well Remembered,GB,,,,,,1947,Drame social,Roman,James Hilton,,,,mf-tt-8783351619,tt0039842,
"Social Network, The","RÃ©seau social, Le","Social Network, The",US,,,,,,2010,Drame biographique,Livre,Ben Mezrich,,,,mf-tt-7696462149,tt1285016,Q22034157
Soeurs d'armes,Soeurs d'armes,,FR,,,,,,1937,Drame biographique,Livre,Antoine Redier,,,,mf-tt-7049156123,,
Soho Incident,Soho quartier dangereux,Spin a Dark Web,GB,,,,,,1955,Drame policier,Roman,Robert Westerby,,,,mf-tt-4377813679,tt0049774,Q3357078
"Soir... par hasard, Un","Soir... par hasard, Un",,FR,,,,,,1964,Drame policier,Roman,Robert Collard,,,,mf-tt-7446516598,tt0217117,Q845500
Solan og Ludvig - Jul i Flaklypa,De la neige pour NoÃ«l,,NO,,,,,,2013,Film d'animation,Roman,Harald Sommerin Simonnaes,,,,mf-tt-5964870510,tt2769896,
Solan og Ludvig: Herfra til Flaklypa,"Grande course au fromage, La",,NO,,,,,,2015,Film d'animation,Oeuvre,Kjell Aukrust,,,,mf-tt-7801686625,,
Solaris,Solaris,Solaris,US,,,,,,2002,Science-fiction,Roman,Stanislaw Lem,,,,mf-tt-1449610267,tt0307479,
Soldier Blue,Soldat bleu,Soldier Blue,US,,,,,,1970,Western,Roman,Theodore V. Olsen,,,,mf-tt-5947734592,tt0066390,
Soldier in the Rain,"DerniÃ¨re Bagarre, La",Soldier in the Rain,US,,,,,,1963,ComÃ©die,Roman,William Goldman,,,,mf-tt-6880905759,tt0057517,Q1109094
Sole Survivor,"Secret du vol 353, Le",Sole Survivor,US,,,,,,2000,Drame fantastique,Roman,Dean R. Koontz,,,,mf-tt-4814175969,tt0214373,Q1655288
Solea,Solea,,FR,IT,CH,,,,2001,Drame policier,Roman,Jean-Claude Izzo,,,,mf-tt-2952552684,,Q197460
"Soleil dans l'oeil, Le","Soleil dans l'oeil, Le",,FR,,,,,,1961,Drame sentimental,Roman,MichÃ¨le Perrein,,,,mf-tt-8499279382,tt0140556,Q5316211
"Soleil des voyous, Le","Soleil des voyous, Le",,FR,IT,DE,,,,1967,Drame policier,Roman,J.M. Flynn ,,,,mf-tt-7499489298,tt0061000,Q7752936
"Solitary Child, The",,"Solitary Child, The",GB,,,,,,1958,Drame policier,Roman,Nina Bawden,,,,mf-tt-3844037475,tt0279430,
"Solitude du manager, La","Solitude du manager, La",,FR,ES,IT,,,,1998,Drame policier,Roman,Manuel VÃ¡zquez MontalbÃ¡n,,,,mf-tt-8084497781,,Q3317191
Solo,Solo,Solo,US,,,,,,1996,Science-fiction,Roman,Robert Mason,,,,mf-tt-4406574579,tt0117688,Q1416607
Solo - A Star Wars Story,Solo - Une histoire de Star Wars,Solo - A Star Wars Story,US,,,,,,2018,Science-fiction,Oeuvre,George Lucas,,,,mf-tt-4861643986,tt3778644,
Solomon Northrup's Odyssey,,"Half Slave, Half Free",US,,,,,,1984,Drame biographique,Livre,Solomon Northup,,,,mf-tt-2557777263,,Q3225895
Some Girl(s),,Some Girl(s),US,,,,,,2012,,PiÃ¨ce,Neil LaBute,,,,mf-tt-6101483724,tt2201221,Q1305159
Something Borrowed,Duo Ã  trois,Something Borrowed,US,,,,,,2011,ComÃ©die sentimentale,Roman,Emily Giffin,,,,mf-tt-1072227836,tt0491152,
Sometimes a Great Notion,"Clan des irrÃ©ductibles, Le",Sometimes a Great Notion,US,,,,,,1971,Drame social,Roman,Ken Kesey,,,,mf-tt-0930681058,tt0067774,Q90673245
Sometimes They Come Back,"Retour, Le",Sometimes They Come Back,US,,,,,,1991,Drame d'horreur,Roman,Stephen King,,,,mf-tt-5236578061,tt0102960,
Sommaren med Monika,Monika,Summer With Monika,,,,,,,1953,Drame psychologique,Roman,Per Anders FogelstrÃ¶m,,,,mf-tt-9178518421,tt0046345,Q15028216
Sommeil blanc,Sommeil blanc,,FR,,,,,,2008,Drame psychologique,Roman,G.J. Arnaud,,,,mf-tt-3530169852,,
Son de Mar,,Sound of the Sea,ES,,,,,,2001,Drame de moeurs,Roman,Manuel Vicent,,,,mf-tt-8653181858,tt0261311,
Son frÃ¨re,Son frÃ¨re,His Brother,FR,,,,,,2003,Drame psychologique,Roman,Philippe Besson,,,,mf-tt-4304874054,tt0351770,
Son of Fury,"Chevalier de la vengance, Le",Son of Fury,US,,,,,,1942,Aventures,Roman,Edison Marshall,,,,mf-tt-2558918174,tt0035360,Q598109
Son of India,Fils de Radjah,Son of India,US,,,,,,1931,Drame sentimental,Livre,Francis Marion Crawford,,,,mf-tt-9395515134,tt0022412,Q4309827
Son of the Sheik,"Amant Ã©ternel, L'",,US,,,,,,1926,MÃ©lodrame,Roman,Edith Maude Hull,,,,mf-tt-1703710051,tt0017416,Q3428160
Son of the South,Combat pour la libertÃ©,Son of the South,US,,,,,,2020,Drame biographique,Livre,Constance Curry,Bob Zellner,,,mf-tt-2842447933,tt2235372,
"Song of Names, The","Chant des noms, Le","Song of Names, The",CA,,,,,,2019,Drame,Roman,Norman Lebrecht,,,,mf-tt-2334823771,tt1657517,
"Song of Songs, The",Cantique d'amour,"Song of Songs, The",US,,,,,,1933,Drame,Roman,Hermann Sudermann,,,,mf-tt-4201715002,tt0024598,Q82430214
"Song of the Lark, The",,"Song of the Lark, The",US,,,,,,2001,Drame musical,Roman,Willa Cather,,,,mf-tt-1957269824,tt0232676,Q2864475
Sophie et le crime,Sophie et le crime,,FR,,,,,,1955,Drame policier,Roman,CÃ©cil Saint-Laurent,,,,mf-tt-2970930444,,Q931557
Sophie's Choice,"Choix de Sophie, Le",Sophie's Choice,US,,,,,,1982,Drame psychologique,Roman,William Styron,,,,mf-tt-0174661802,tt0084707,
Sorcerer,"Convoi de la peur, Le",Sorcerer,US,,,,,,1977,Aventures,Roman,Georges Arnaud,,,,mf-tt-9903174198,tt0076740,Q652592
"SorciÃ¨re, La","SorciÃ¨re, La","Blonde Witch, The",FR,IT,SE,,,,1956,Drame,Roman,Kissa Kouprine,,,,mf-tt-5562067668,tt0048645,Q4359765
Sordid Lives,,Sordid Lives,US,,,,,,2000,ComÃ©die satirique,PiÃ¨ce,Del Shores,,,,mf-tt-5248741116,tt0204640,Q2049763
Sostiene Pereira,Pereira prÃ©tend,According to Pereira,IT,,,,,,1996,Drame,Roman,Antonio Tabucchi,,,,mf-tt-1745346679,tt0115479,Q21527509
Soul Surfer,Surfeuse dans l'Ã¢me,Soul Surfer,US,,,,,,2011,Drame biographique,Livre,Rich Bundschuh,Sheryl Berk,Bethany Hamilton,,mf-tt-8988300732,tt1596346,
"Sound of Thunder, A",Un Coup de tonnerre,"Sound of Thunder, A",US,DE,CZ,,,,2005,Science-fiction,Roman,Ray Bradbury,,,,mf-tt-9553500067,tt0318081,Q1199406
SoupÃ§ons,SoupÃ§ons,,FR,,,,,,1956,Drame policier,Roman,Maurice Dekobra,,,,mf-tt-2285006601,,
"Soupe Ã  la grimace, La","Soupe Ã  la grimace, La",,FR,,,,,,1954,Aventures,Roman,Terry Stewart,,,,mf-tt-8679841062,,
"Soupe aux choux, La","Soupe aux choux, La",,FR,,,,,,1981,ComÃ©die fantaisiste,Roman,RenÃ© Fallet,,,,mf-tt-3256784317,tt0083109,
"Souper, Le","Souper, Le",,FR,,,,,,1992,Drame historique,PiÃ¨ce,Jean-Claude Brisville,,,,mf-tt-3131735229,tt0105448,Q1469774
"Source Family, The",,"Source Family, The",US,,,,,,2012,Documentaire,Livre,Electricity Aquarian,Isis Aquarian,,,mf-tt-8995260919,tt2245223,Q3068699
"Sourd dans la ville, Le","Sourd dans la ville, Le",,CA,QC,,,,,1987,Drame de moeurs,Roman,Marie-Claire Blais,,,,mf-tt-3526251916,tt0133211,Q2398429
"Sourire dans la tempÃªte, Un","Sourire dans la tempÃªte, Un","Smile in the Storn, A",FR,,,,,,1950,Drame,Roman,Maurice Constantin-Weyer,,,,mf-tt-3928344749,,Q205321
Sous le casque de cuir,Sous le casque de cuir,,FR,,,,,,1931,Drame,Roman,RenÃ© Chambe,,,,mf-tt-2686351624,tt0204643,
Sous le signe de Monte-Cristo,Sous le signe de Monte-Cristo,,FR,IT,,,,,1968,Aventures,Roman,Alexandre Dumas,,,,mf-tt-7779954441,tt0174227,
Sous le Signe du taureau,Sous le Signe du taureau,,FR,,,,,,1968,Drame,Roman,Roger Vrigny,,,,mf-tt-6889174729,tt0063630,
Sous le soleil de Satan,Sous le soleil de Satan,,FR,,,,,,1987,Drame religieux,Roman,Georges Bernanos,,,,mf-tt-6440900462,tt0094011,Q601113
Sous les yeux d'Occident,Sous les yeux d'Occident,,FR,,,,,,1936,Drame,Roman,Joseph Conrad,,,,mf-tt-5424523020,tt0028288,Q55102449
Souvenir,,Souvenir,GB,,,,,,1987,Drame,Roman,Paul Wheeler,,,,mf-tt-0090760907,tt0096148,
"Souvenirs, Les","Souvenirs, Les",,FR,,,,,,2014,ComÃ©die dramatique,Roman,David Foenkinos,,,,mf-tt-3414961093,tt3519272,
Souviens-toi,Souviens-toi,,FR,,,,,,2014,Drame,Roman,Mary Higgins Clark,,,,mf-tt-2690309327,,
Soylent Green,Soleil vert,Soylent Green,US,,,,,,1973,Science-fiction,Roman,Harry Harrison,,,,mf-tt-8358753445,tt0070723,Q4684107
Space,"ConquÃªte des Ã©toiles, La",Space,US,,,,,,1985,Chronique,Roman,James Michener,,,,mf-tt-5424958595,,
"Spaceman and King Arthur, The","Cosmonaute Ã  la cour du Roi Arthur, Un","Spaceman and King Arthur, The",GB,,,,,,1979,ComÃ©die fantaisiste,Roman,Mark Twain,,,,mf-tt-9844035004,,Q841961
Spanish Cape Mystery,,Spanish Cape Mystery,US,,,,,,1935,Drame policier,Roman,Ellery Queen,,,,mf-tt-5041016801,tt0027028,
Sparkling Cyanide,Meurtre au champagne,Sparkling Cyanide,GB,,,,,,2003,Drame policier,Roman,Agatha Christie,,,,mf-tt-3140571172,tt0382310,
Sparks,Sparks,Sparks,US,,,,,,2013,Science-fiction,Oeuvre,Christopher Folino,,,,mf-tt-5072143916,tt2234429,Q3409260
Spartacus,Spartacus,Spartacus,US,,,,,,2004,Drame Ã©pique,Roman,Howard Fast,,,,mf-tt-0621354621,,Q615291
Spartacus,Spartacus,Spartacus,US,,,,,,1960,Drame Ã©pique,Roman,Howard Fast,,,,mf-tt-0113616350,tt0054331,
Species II,EspÃ¨ces II,Species II,US,,,,,,1998,Science-fiction,Oeuvre,Dennis Feldman,,,,mf-tt-5350682872,tt0120841,Q1218111
Species III,EspÃ¨ces III,Species III,US,,,,,,2004,Science-fiction,Oeuvre,Dennis Feldman,,,,mf-tt-1443388546,tt0410650,
Species: The Awakening,EspÃ¨ces IV,Species: The Awakening,US,,,,,,2007,Science-fiction,Oeuvre,Dennis Feldman,,,,mf-tt-0811281095,,
"Spectacular Now, The",Ici et maintenant,"Spectacular Now, The",US,,,,,,2012,ComÃ©die dramatique,Roman,Tim Tharp,,,,mf-tt-8497317353,tt1714206,
Spectre,Spectre,Spectre,US,,,,,,2015,Drame d'espionnage,Roman,Ian Fleming,,,,mf-tt-7337486632,tt2379713,Q287599
Spenser: A Savage Place,Spenser: CitÃ© sauvage,Spenser: A Savage Place,US,,,,,,1995,Drame policier,Roman,Robert B. Parker,,,,mf-tt-5321612635,,Q65090738
Spenser: Small Vices,"Ã la vÃ©ritÃ©, Ã  la mort",Spencer: Small Vices,US,,,,,,1999,Drame policier,Roman,Robert B. Parker,,,,mf-tt-6066714843,,Q3221844
Spenser: The Judas Goat,Spenser: Le piÃ¨ge,Spenser: The Judas Goat,US,,,,,,1994,Drame policier,Roman,Robert B. Parker,,,,mf-tt-0239778507,,
Sperduti nel buio,Perdu dans les tÃ©nÃ¨bres,,IT,,,,,,1947,MÃ©lodrame,Roman,Giovanni Bracco,,,,mf-tt-7715623200,tt0039857,Q3190248
Sphere,SphÃ¨re,Sphere,US,,,,,,1998,Science-fiction,Roman,Michael Crichton,,,,mf-tt-7406537496,tt0120184,Q205028
Spider,Spider,Spider,CA,,,,,,2002,Drame psychologique,Roman,Patrick McGrath,,,,mf-tt-3658952416,tt0278731,Q3536469
Spider Woman,"Femme aux araignÃ©es, La",Spider Woman,GB,,,,,,1944,Drame policier,Oeuvre,Arthur Conan Doyle,,,,mf-tt-5757263497,,Q1212768
Spider-Man,Spider-Man l'homme araignÃ©e,Spider-Man,US,,,,,,1977,Aventures,Oeuvre,Stan Lee,,,,mf-tt-7683121913,,Q6507876
Spider-Man - Far From Home,Spider-Man - Loin des siens,Spider-Man - Far From Home,US,,,,,,2019,Drame fantastique,Oeuvre,Stan Lee,Steve Ditko,,,mf-tt-0192107228,tt6320628,Q1781433
Spider-Man - No Way Home,Spider-Man - sans retour,Spider-Man - No Way Home,US,,,,,,2021,Drame fantastique,Oeuvre,Stan Lee,Steve Ditko,,,mf-tt-4098269302,,Q659843
Spider-Man 2,Spider-Man 2,Spider-Man 2,US,,,,,,2004,Drame fantastique,Oeuvre,Steve Ditko,Stan Lee,,,mf-tt-3045853458,tt0316654,
Spieltrieb,"Instinct du jeu, L'",Gaming Instinct,DE,,,,,,2013,Drame,Roman,Juli Zeh,,,,mf-tt-2214034315,tt2230342,Q1306392
Splendor,,Splendor,US,,,,,,1935,Drame sentimental,PiÃ¨ce,Rachel Crothers,,,,mf-tt-6353655289,tt0027033,Q673195
"Spoilers, The","Ãcumeurs, Les","Spoilers, The",US,,,,,,1942,Aventures,Roman,Rex Beach,,,,mf-tt-7707278216,tt0035369,Q2994818
Spooked,,Spooked,NZ,,,,,,2004,Thriller,Livre,Ian Wishart,,,,mf-tt-5173219091,,Q18415
"Spy Who Came in from the Cold, The","Espion qui venait du froid, L'","Spy Who Came in from the Cold, The",GB,,,,,,1965,Drame d'espionnage,Roman,John Le CarrÃ©,,,,mf-tt-9461375986,tt0059749,
"Spy Who Loved Me, The","Espion qui m'aimait, L'","Spy Who Loved Me, The",GB,,,,,,1977,Drame d'espionnage,Oeuvre,Ian Fleming,,,,mf-tt-8837537798,tt0076752,Q221384
"Squale, Le","Squale, Le",,FR,,,,,,1991,ComÃ©die dramatique,Roman,Jean-FranÃ§ois Coatmeur,,,,mf-tt-5131636068,tt0240027,
Stage Door,,Stage Door,US,,,,,,1937,Drame de moeurs,PiÃ¨ce,George S. Kaufman,Edna Ferber,,,mf-tt-3595502430,tt0029604,
Stage Fright,"Grand Alibi, Le",Stage Fright,US,,,,,,1950,Thriller,Roman,Selwyn Jepson,,,,mf-tt-5724886563,tt0042994,Q676039
Stage Struck,,Stage Struck,US,,,,,,1958,Drame,PiÃ¨ce,Zoe Akins,,,,mf-tt-6920365411,tt0052235,Q232075
Stalkers,"Ombre du harcÃ¨lement, L'",Stalkers,US,,,,,,2013,Drame policier,Roman,Rhonda Saunders,,,,mf-tt-9556458633,,
"Stances Ã  Sophie, Les","Stances Ã  Sophie, Les",,FR,,,,,,1970,Drame psychologique,Roman,Christiane Rochefort,,,,mf-tt-2096854814,,Q1261193
Stand By Me,Compte sur moi,Stand by Me,US,,,,,,1986,ComÃ©die dramatique,Roman,Stephen King,,,,mf-tt-5147028229,tt0092005,Q2607724
