NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANCE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE
YMCA DU QUÉBEC,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1228444002,ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D'UNE SOMME MAXIMALE DE 525 000 $ AUX YMCA DU QUÉBEC POUR LA CONSOLIDATION DE LA PROGRAMMATION DU YMCA DE POINTE-SAINT-CHARLES DANS LE CONTEXTE D’UN PROJET DE REDÉVELOPPEMENT DU SITE POUR LA PÉRIODE 2022-2023 DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE / APPROUVER UN PROJET DE CONVENTION À CET EFFET CF.O-SDIS-22-079,CM22 1327,2022-11-23,525000,,,
CLUB DE TIR À L'ARC DE MONTRÉAL,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,91404,,,
"CLUB D'ESCRIME ""FLEURET D'ARGENT""",100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,42887,,,
LE CLUB GYMNIX INC.,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,291495,,,
CLUB D'HALTÉROPHILIE DE MONTRÉAL,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,51454,,,
CLUB DE HAUTE PERFORMANCE MONTRÉAL-OLYMPIQUE INC.,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,91260,,,
CLUB DE LUTTE INTER - CONCORDIA (C.L.I.C.),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,51454,,,
CLUB DE JUDO MÉTROPOLITAIN INC.,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,96139,,,
CLUB DE TENNIS DE TABLE PRESTIGE DE MONTRÉAL,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,119330,,,
BOXEMONTREAL.COM INC.,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,56148,,,
CLUB AQUATIQUE CAMO MONTRÉAL (NATATION) INC.,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,299982,,,
CLUB AQUATIQUE CAMO MONTRÉAL (WATER-POLO) INC.,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,169410,,,
CLUB DE PLONGEON CAMO MONTRÉAL INC.,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,179109,,,
LE CLUB MONTRÉAL SYNCHRO INC.,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1191543004,"ACCORDER LA RECONNAISSANCE À 16 ORGANISMES, EN VERTU DE LA POLITIQUE DE RECONNAISSANCE ET DE SOUTIEN DES ORGANISMES DE LA DIVISION DE LA GESTION DES INSTALLATIONS SPORTIVE/ ACCORDER UN SOUTIEN FINANCIER TOTALISANT 1 680 875,21 $ À 13 ORGANISMES SELON LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX/ APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CM22 1476,2022-12-22,140802,,,
OFFICE MUNICIPAL D’HABITATION DE MONTRÉAL (OMHM),100% VILLE,SERVICE DE L'HABITATION,DIRECTION,1227031003,"ACCORDER UNE CONTRIBUTION FINANCIÈRE MAXIMALE À L’OFFICE MUNICIPAL D’HABITATION DE MONTRÉAL (OMHM) DE 1 740 000 $ EN 2023, 1 792 200 $ EN 2024 ET 1 845 966 $ EN 2025 POUR LA POURSUITE DES ACTIVITÉS DU SERVICE DE RÉFÉRENCE POUR LES PERSONNES EN SITUATION DE PERTE DE LOGEMENT ET L'ACCOMPAGNEMENT DES MÉNAGES VULNÉRABLES À LA PRÉPARATION DE LEUR LOGEMENT AVANT UNE INTERVENTION D'EXTERMINATION / AUTORISER UNE DÉPENSE ANNUELLE MAXIMALE DE 1 700 000 $ POUR LE REMBOURSEMENT À L’OFFICE MUNICIPAL D'HABITATION DE MONTRÉAL DES FRAIS D'HÉBERGEMENT TEMPORAIRE ET DES AUTRES MESURES D'URGENCE / APPROUVER UNE CONVENTION À CET EFFET",CM22 1482,2022-12-22,10478166,,,
NUIT BLANCHE À MONTRÉAL INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1227317029,ACCORDER UN SOUTIEN FINANCIER TOTALISANT 400 000 $ À L'ORGANISME NUIT BLANCHE À MONTRÉAL INC.POUR SOUTENIR LA 20E ÉDITION DE LA NUIT BLANCHE LE 25 FÉVRIER 2023 / APPROUVER LE PROJET DE CONVENTION À CET EFFET,CM22 1477,2022-12-22,400000,,,
CENTRAIDE DU GRAND MONTRÉAL,100% VILLE,DIRECTION GÉNÉRALE,CABINET DU DIRECTEUR GÉNÉRAL,1227921001,FAIRE UN DON DE DEUX CENT QUATRE VINGT CINQ MILLE DOLLARS (285 000 $) À L'ORGANISME CENTRAIDE DU GRAND MONTRÉAL DANS LE CADRE DE SA CAMPAGNE DE FINANCEMENT 2022.,CM22 1484,2022-12-22,285000,,,
SHAPEM,100% VILLE,SERVICE DE L'HABITATION,DIRECTION,1228320001,ACCORDER UN SOUTIEN FINANCIER NON-RÉCURRENT D'UNE SOMME DE 300 000 $ À LA SOCIÉTÉ D'HABITATION POPULAIRE DE L'EST DE MONTRÉAL (SHAPEM) POUR LA SOUTENIR DANS SA TRANSFORMATION ORGANISATIONNELLE EN TANT QUE GESTIONNAIRE D'UN PARC IMMOBILIER DE PRÈS DE 1700 LOGEMENTS ABORDABLES; APPROUVER UN PROJET DE CONVENTION À CET EFFET ; DÉLÉGUER À LA DIRECTRICE DU SERVICE DE L'HABITATION LA SIGNATURE DE LA CONVENTION AU NOM DE LA VILLE DE MONTRÉAL,CM22 1483,2022-12-20,300000,,,
LA LUTINERIE DE MONTRÉAL,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1229664002,ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT 150 000 $ À L'ORGANISME LA LUTINERIE DE MONTRÉAL POUR L'ORGANISATION DU GRAND MARCHÉ DE NOËL 2022 DU 19 NOVEMBRE AU 31 DÉCEMBRE 2022 / APPROUVER LE PROJET DE CONVENTION À CET EFFET,CM22 1478,2022-12-22,150000,,,
INSTITUT DE RECHERCHE EN BIOLOGIE VÉGÉTALE,100% VILLE,SERVICE DE L'ESPACE POUR LA VIE,DIRECTION,1220348015,"ACCORDER UN SOUTIEN FINANCIER DE 450 000 $ À L'INSTITUT DE RECHERCHE EN BIOLOGIE VÉGÉTALE, POUR UNE PÉRIODE DE TROIS ANS SE TERMINANT LE 31 DÉCEMBRE 2025, AFIN DE SOUTENIR SA MISSION POUR LES ANNÉES 2023, 2024 ET 2025. APPROUVER UN PROJET DE CONVENTION À CET EFFET",CM23 0064,2023-01-26,450000,,,
FESTIVAL MONTRÉAL EN LUMIÈRE INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1227317027,ACCORDER UN SOUTIEN FINANCIER 600 000 $ ET UN SOUTIEN TECHNIQUE À L'ORGANISME FESTIVAL MONTRÉAL EN LUMIÈRE INC. POUR SOUTENIR LA 24E ÉDITION DE MONTRÉAL EN LUMIÈRE DU 16 AU 26 FÉVRIER 2023 / APPROUVER LES PROJETS DE CONVENTIONS À CET EFFET,CM23 0062,2023-01-26,600000,,,
FESTIVAL MONTRÉAL EN LUMIÈRE INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1227317028,ACCORDER UN SOUTIEN FINANCIER TOTALISANT 400 000 $ À L'ORGANISME FESTIVAL MONTRÉAL EN LUMIÈRE INC. POUR SOUTENIR LA PROLONGATION DE LA 24E ÉDITION DE MONTRÉAL EN LUMIÈRE DANS LE CADRE DE LA SEMAINE DE RELÂCHE DU 27 FÉVRIER AU 5 MARS 2023 / APPROUVER LE PROJET DE CONVENTION À CET EFFET,CM23 0063,2023-01-26,400000,,,
AGENCE DE MOBILITÉ DURABLE,100% VILLE,SERVICE DE LA PLANIFICATION STRATÉGIQUE ET DE LA PERFORMANCE ORGANISATIONNELLE,DIRECTION,1229472005,"ACCORDER UNE CONTRIBUTION FINANCIÈRE MAXIMALE DE 2 400 000 $ À L’AGENCE DE MOBILITÉ DURABLE POUR LA MISE EN PLACE D’OUTILS DE COLLECTE, DE TRAITEMENT ET DE VALORISATION DE DONNÉES QUI S'INSCRIT DANS LE CADRE DE MONTRÉAL EN COMMUN, LE VOLET MONTRÉALAIS DU DÉFI DES VILLES INTELLIGENTES DU CANADA. APPROUVER LE PROJET DE CONVENTION À CET EFFET",CM23 0073,2023-01-26,2400000,,,
FONDATION QUÉBEC CINÉMA,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1226370003,"ACCORDER UN SOUTIEN FINANCIER DE 150 000 $ PAR ANNÉE TOTALISANT 450 000 $ AINSI QU'UN SOUTIEN TECHNIQUE À L'ORGANISME FONDATION QUÉBEC CINÉMA POUR LES 41E, 42E ET 43E ÉDITIONS DU FESTIVAL RENDEZ-VOUS QUÉBEC CINÉMA | APPROUVER LES PROJETS DE CONVENTIONS À CET EFFET",CM23 0162,2023-02-22,150000,,,
PARTENARIAT CLIMAT MONTRÉAL,100% VILLE,DIRECTION GÉNÉRALE,DIRECTION GÉNÉRALE ADJOINTE - QUALITÉ DE VIE,1229219001,"ACCORDER UNE CONTRIBUTION FINANCIÈRE TOTALISANT 400 000$ POUR L'ANNÉE 2023 POUR LA RÉALISATION DU MANDAT DU PARTENARIAT CLIMAT MONTRÉAL ET AUTORISER UN VIREMENT BUDGÉTAIRE DE 400 000$ VERS LE BUREAU DE LA TRANSITION ÉCOLOGIQUE ET DE LA RÉSILIENCE EN PROVENANCE DU SURPLUS AFFECTÉ DÉDIÉ À L'URGENCE CLIMATIQUE, AFIN DE FINANCER CE PARTENARIAT",CM23 0173,2023-02-22,400000,,,
SOVERDI,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION GESTION DE GRANDS PARCS ET MILIEUX NATURELS,1229843001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 3 379 700 $ À SOVERDI AFIN DE SOUTENIR LE VERDISSEMENT ET LE RENFORCEMENT DE LA CANOPÉE MONTRÉALAISE SUR LES SITES PRIVÉS ET INSTITUTIONNELS, POUR LA PÉRIODE DU 20 FÉVRIER AU 31 DÉCEMBRE 2023, DANS LE CADRE DU PLAN DE LA FORÊT URBAINE / APPROUVER UN PROJET DE CONVENTION À CET EFFET",CM23 0161,2023-02-22,3379700,,,
SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE DE MONTRÉAL POINTE-À-CALLIÈRE,100% VILLE,SERVICE DE LA CULTURE,DIRECTION DU DÉVELOPPEMENT CULTUREL,1227233007,"ACCORDER UN SOUTIEN FINANCIER DE 9 358 900 $ EN 2023, DE 9 592 900 $ EN 2024 ET DE 9 832 700 $ EN 2025 À LA SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE DE MONTRÉAL POINTE-À-CALLIÈRE POUR L'EXPLOITATION D'UN MUSÉE DANS LES IMMEUBLES SITUÉS AU 350 DE LA PLACE ROYALE, AU 150 RUE SAINT-PAUL OUEST AINSI QU'AUX 165,173 ET 214 PLACE D'YOUVILLE POUR LA PÉRIODE DU 1ER JANVIER 2023 AU 31 DÉCEMBRE 2025. APPROUVER UN PROJET DE CONVENTION À CET EFFET. AUTORISER UN AJUSTEMENT RÉCURRENT DE LA BASE BUDGÉTAIRE DANS LES CHAPITRES POUR LA SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE DE MONTRÉAL POINTE-À-CALLIÈRE POUR UN MONTANT DE 234 000 $ EN 2024 ET POUR UN MONTANT ADDITIONNEL DE 239 800 $ À COMPTER DE 2025.",CM23 0424,2023-04-21,28784500,,,
FESTIVAL TRANSAMÉRIQUES,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1238372001,ACCORDER UN SOUTIEN FINANCIER DE 400 000 $ AINSI QU'UN SOUTIEN TECHNIQUE ESTIMÉ À 50 000 $ À L'ORGANISME FESTIVAL TRANSAMÉRIQUES POUR LA TENUE DE LA 17E ÉDITION DU FESTIVAL TRANSAMÉRIQUES (FTA) QUI AURA LIEU DU 24 MAI AU 8 JUIN 2023 / APPROUVER LES PROJETS DE CONVENTIONS À CET EFFET,CM23 0425,2023-04-21,400000,,,
NORD OUVERT,100% VILLE,SERVICE DE LA PLANIFICATION STRATÉGIQUE ET DE LA PERFORMANCE ORGANISATIONNELLE,DIRECTION,1239473001,"ACCORDER UNE CONTRIBUTION FINANCIÈRE MAXIMALE DE 995 000 $ À L'ORGANISME NORD OUVERT JUSQU’AU 31 JANVIER 2025, POUR LA DEUXIÈME PHASE DES TRAVAUX DU CHANTIER SUR LA GOUVERNANCE DES DONNÉES QUI S'INSCRIT DANS LE CADRE DE MONTRÉAL EN COMMUN, LE VOLET MONTRÉALAIS DU DÉFI DES VILLES INTELLIGENTES DU CANADA. APPROUVER LE PROJET DE CONVENTION À CET EFFET.",CM23 0426,2023-04-21,995000,,,
LA FABRIQUE DES MOBILITÉS QUÉBEC,100% VILLE,SERVICE DE LA PLANIFICATION STRATÉGIQUE ET DE LA PERFORMANCE ORGANISATIONNELLE,DIRECTION,1239473002,"ACCORDER UNE CONTRIBUTION FINANCIÈRE MAXIMALE DE 538 000 $ À L'ORGANISME FABRIQUE DES MOBILITÉS QUÉBEC, POUR UN PROJET DE VALORISATION DES DONNÉES EN MOBILITÉ QUI S'INSCRIT DANS LE CADRE DE MONTRÉAL EN COMMUN, LE VOLET MONTRÉALAIS DU DÉFI DES VILLES INTELLIGENTES DU CANADA. APPROUVER LE PROJET DE CONVENTION À CET EFFET.",CM23 0427,2023-04-21,538000,,,
CITÉ DES ARTS DU CIRQUE,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1231204002,ACCORDER UN SOUTIEN FINANCIER TOTALISANT 300 000 $ AINSI QU'UN SOUTIEN TECHNIQUE ESTIMÉ À 5 000 $ À L'ORGANISME CITÉ DES ARTS DU CIRQUE POUR LA TENUE DE LA 2E ÉDITION DU PROJET LE GÉANT DU 6 AU 30 JUILLET 2023 / APPROUVER LE PROJET DE CONVENTIONS À CET EFFET,CM23 0558,2023-05-18,300000,,,
CITÉ DES ARTS DU CIRQUE,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1231204003,"ACCORDER UN SOUTIEN FINANCIER DE 630 000 $ PAR ANNÉE TOTALISANT 1 890 000 $ AINSI QU'UN SOUTIEN TECHNIQUE ESTIMÉ À 55 000 $ À L'ORGANISME CITÉ DES ARTS DU CIRQUE POUR LES 14E,15E ET 16E ÉDITIONS DU FESTIVAL MONTRÉAL COMPLÈTEMENT CIRQUE/ APPROUVER LE PROJET DE CONVENTION À CET EFFET",CM23 0559,2023-05-18,1890000,,,
"TERRES EN VUES, SOCIÉTÉ POUR LA DIFFUSION DE LA CULTURE AUTOCHTONE",100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1236370001,"ACCORDER UN SOUTIEN FINANCIER DE 210 000 $ PAR ANNÉE TOTALISANT 630 000 $ AINSI QU'UN SOUTIEN TECHNIQUE ESTIMÉ À 100 000 $ À L'ORGANISME TERRES EN VUES, SOCIÉTÉ POUR LA DIFFUSION DE LA CULTURE AUTOCHTONE POUR LES 33E, 34E ET 35E ÉDITIONS DU FESTIVAL PRÉSENCE AUTOCHTONE / APPROUVER LE PROJET DE CONVENTION À CET EFFET",CM23 0560,2023-05-18,630000,,,
FESTIVAL FIERTÉ MONTRÉAL,100% VILLE,SERVICE DE LA CULTURE,DIRECTION CINÉMA-FESTIVALS-ÉVÉNEMENTS,1237883010,ACCORDER UN SOUTIEN FINANCIER TOTALISANT 600 000 $ AINSI QU'UN SOUTIEN TECHNIQUE ESTIMÉ À 300 000 $ À L'ORGANISME FIERTÉ MONTRÉAL POUR LA TENUE DE LA 17E ÉDITION DU FESTIVAL FIERTÉ MONTRÉAL QUI AURA LIEU DU 3 AU 13 AOÛT 2023 / APPROUVER LE PROJET DE CONVENTION À CET EFFET,CM23 0553,2023-05-18,600000,,,
RÉSEAU RÉUSSITE MONTRÉAL,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1238121001,"ACCORDER UN SOUTIEN FINANCIER DE 162 220 $ À RÉSEAU RÉUSSITE MONTRÉAL, POUR LE PROJET ""INCLUSION DES JEUNES IMMIGRANTS EN CAMP DE JOUR"", DANS LE CADRE DU PROGRAMME TERRITOIRES D'INCLUSION PRIORITAIRES DU BUREAU D'INTÉGRATION DES NOUVEAUX ARRIVANTS À MONTRÉAL (BINAM) DU SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE (SDIS) ET DE L'ENTENTE 2021-2024 ENTRE LE MINISTÈRE DE L'IMMIGRATION, DE LA FRANCISATION ET DE L'INTÉGRATION (MIFI) ET LA VILLE DE MONTRÉAL / APPROUVER LE PROJET DE CONVENTION À CET EFFET. CF.O-SDIS-23-006.",CM23 0550,2023-05-18,162220,,,
FONDATION DU GRAND MONTRÉAL,100% VILLE,DIRECTION GÉNÉRALE,DIRECTION GÉNÉRALE ADJOINTE - QUALITÉ DE VIE,1239219001,AUTORISER LA SIGNATURE DE LA CONVENTION DE CONTRIBUTION FINANCIÈRE POUR L'OCTROI DE 400 000$ À LA FONDATION DU GRAND MONTRÉAL POUR LA RÉALISATION DU MANDAT DU PARTENARIAT CLIMAT MONTRÉAL POUR L'ANNÉE 2023.,CM23 0551,2023-05-18,400000,,,
SOLON,100% VILLE,SERVICE DE LA PLANIFICATION STRATÉGIQUE ET DE LA PERFORMANCE ORGANISATIONNELLE,DIRECTION,1239473004,"APPROUVER L'ADDENDA NO. 1 À LA CONVENTION DE CONTRIBUTION FINANCIÈRE CONCLUE ENTRE LA VILLE DE MONTRÉAL ET SOLON (CM22 0217) AFIN DE PROLONGER LA DURÉE DE LA CONVENTION INITIALE AU 31 DÉCEMBRE 2023 AU LIEU DU 31 OCTOBRE 2023, D'ACCORDER UNE CONTRIBUTION FINANCIÈRE ADDITIONNELLE DE 850 000 $ PORTANT LE MONTANT MAXIMAL À 4 108 000 $, POUR LE PROJET DE MOBILITÉ DE QUARTIER QUI S'INSCRIT DANS LE CADRE DU PROGRAMME MUNICIPAL MONTRÉAL EN COMMUN, ISSU DE LA CANDIDATURE GAGNANTE DE LA VILLE DE MONTRÉAL POUR LE DÉFI DES VILLES INTELLIGENTES DU CANADA.",CM23 0557,2023-05-18,850000,,,
MONTRÉAL EN HISTOIRES,100% VILLE,SERVICE DE LA CULTURE,DIRECTION,1228781005,"APPROUVER UN PROJET DE CONVENTION VISANT À ACCORDER UN FINANCEMENT À L’ORGANISME MONTRÉAL EN HISTOIRES AU MONTANT DE 450 000 $ EN 2023 ET DE 400 000 $ PAR ANNÉE POUR 2024 ET 2025, POUR UN TOTAL DE 1 250 000 $ SUR TROIS ANS. CETTE CONTRIBUTION VISE À OPTIMISER SES OPÉRATIONS DANS LE VIEUX-MONTRÉAL ET À SOUTENIR LE DÉVELOPPEMENT DE NOUVEAUX PROJETS DANS LES ARRONDISSEMENTS.",CM23 0285,2023-03-23,1250000,,,
COLLECTIF RÉCOLTE (RÉCOLTE),100% VILLE,SERVICE DE LA PLANIFICATION STRATÉGIQUE ET DE LA PERFORMANCE ORGANISATIONNELLE,DIRECTION,1238047001,"ACCORDER UNE CONTRIBUTION FINANCIÈRE MAXIMALE DE 4 042 989$ À L'ORGANISME RÉCOLTE POUR LA MISE EN PLACE DU SYSTÈME ALIMENTAIRE LOCAL ET INTÉGRÉ QUI S'INSCRIT DANS LE CADRE DE MONTRÉAL EN COMMUN, LE VOLET MONTRÉALAIS DU DÉFI DES VILLES INTELLIGENTES DU CANADA. APPROUVER LE PROJET DE CONVENTION À CET EFFET.",CM23 0284,2023-03-23,4042989,,,
