NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANDE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE 
DOPAMINE,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,13000,,,
EN MARGE 12 - 17,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,19500,,,
LA FONDATION DU REFUGE POUR FEMMES CHEZ DORIS INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,44195,,,
LA MAISON BENOÎT LABRE,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,32500,,,
LA MISSION ST-MICHAEL,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,19468,,,
LA PORTE OUVERTE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,45500,,,
LA RUE DES FEMMES DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,19500,,,
LE PAS DE LA RUE,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,27300,,,
MÉDECINS DU MONDE CANADA,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,6500,,,
MISSION OLD BREWERY,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,32500,,,
PAVILLON PATRICIA MACKENZIE,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,29900,,,
PROJETS AUTOCHTONES DU QUÉBEC,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,27300,,,
REFUGE DES JEUNES,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 482 542 $ AUX 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE 18 PROJETS EN ITINÉRANCE DE L'AXE 2 « SÉCURISER ET STA",CG23 0122,2023-03-24,19500,,,
ASSOCIATION D'ENTRAIDE LE CHAÎNON,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665004,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 474 862 $ AUX SIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE SEPT PROJETS D'OFFRE DE SERVICE EN MATIÈRE D'HÉBERGEM",CG23 0123,2023-03-24,35308,,,
LA MAISON DU PÈRE,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665004,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 474 862 $ AUX SIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE SEPT PROJETS D'OFFRE DE SERVICE EN MATIÈRE D'HÉBERGEM",CG23 0123,2023-03-24,97500,,,
LA RUE DES FEMMES DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665004,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 474 862 $ AUX SIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE SEPT PROJETS D'OFFRE DE SERVICE EN MATIÈRE D'HÉBERGEM",CG23 0123,2023-03-24,76674,,,
MISSION BON ACCUEIL,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665004,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 474 862 $ AUX SIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE SEPT PROJETS D'OFFRE DE SERVICE EN MATIÈRE D'HÉBERGEM",CG23 0123,2023-03-24,97500,,,
MISSION OLD BREWERY,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665004,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 474 862 $ AUX SIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE SEPT PROJETS D'OFFRE DE SERVICE EN MATIÈRE D'HÉBERGEM",CG23 0123,2023-03-24,97500,,,
MISSION OLD BREWERY,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665004,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 474 862 $ AUX SIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE SEPT PROJETS D'OFFRE DE SERVICE EN MATIÈRE D'HÉBERGEM",CG23 0123,2023-03-24,38915,,,
PROJETS AUTOCHTONES DU QUÉBEC,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1239665004,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 474 862 $ AUX SIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE SEPT PROJETS D'OFFRE DE SERVICE EN MATIÈRE D'HÉBERGEM",CG23 0123,2023-03-24,31465,,,
DÉPÔT ALIMENTAIRE NDG,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1233220003,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 556 135 $, À 5 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE CES PROJETS JUSQU'AU AU 31 MARS 2024 , DANS LE CADRE DE L’ENTENTE AD",CG23 0343,2023-06-16,121734,,,
REGROUPEMENT DES MAGASINS-PARTAGE DE L'ÎLE DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1233220003,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 556 135 $, À 5 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE CES PROJETS JUSQU'AU AU 31 MARS 2024 , DANS LE CADRE DE L’ENTENTE AD",CG23 0343,2023-06-16,125000,,,
JEUNESSE AU SOLEIL,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1233220003,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 556 135 $, À 5 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE CES PROJETS JUSQU'AU AU 31 MARS 2024 , DANS LE CADRE DE L’ENTENTE AD",CG23 0343,2023-06-16,92401,,,
MOISSON MONTRÉAL INC,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1233220003,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 556 135 $, À 5 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE CES PROJETS JUSQU'AU AU 31 MARS 2024 , DANS LE CADRE DE L’ENTENTE AD",CG23 0343,2023-06-16,187000,,,
LA FABRIQUE DES MOBILITÉS QUÉBEC - CYCLISTES SOLIDAIRES,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1233220003,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 556 135 $, À 5 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, POUR LA PROLONGATION DE CES PROJETS JUSQU'AU AU 31 MARS 2024 , DANS LE CADRE DE L’ENTENTE AD",CG23 0343,2023-06-16,30000,,,
RÉSEAU COOP,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1235008001,"ACCORDER UNE CONTRIBUTION FINANCIÈRE NON RÉCURRENTE DE 500 000 $ AU RÉSEAU DE LA COOPÉRATION DU TRAVAIL DU QUÉBEC, COOPÉRATIVE DE SOLIDARITÉ POUR UNE DURÉE DE TROIS ANS (2023-2026) AFIN D'ASSURER LE DÉPLOIEMENT DE SON PLAN D'ACTION / APPROUVER UN PROJET D",CG23 0338,2023-06-16,500000,,,
ALI ET LES PRINCES DE LA RUE,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,50000,,,
CARI ST-LAURENT,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,40000,,,
CENTRE COMMUNAUTAIRE DES FEMMES SUD-ASIATIQUES,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,42500,,,
CENTRE D'ENCADREMENT POUR JEUNES FEMMES IMMIGRANTES (C.E.J.F.I.),100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,75000,,,
CENTRE DES FEMMES DE MONTRÉAL,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,30000,,,
CITÉ DES ARTS DU CIRQUE,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,30000,,,
CLINIQUE JURIDIQUE DE SAINT-MICHEL,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,40000,,,
CYBERCAP,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,60000,,,
FONDATION ÉMERGENCE INC.,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,30000,,,
INTÉGRATION JEUNESSE DU QUÉBEC INC.,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,50000,,,
INTÉGRATION JEUNESSE DU QUÉBEC INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,134900,,,
INTÉGRATION JEUNESSE DU QUÉBEC INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,165100,,,
L'ÉTOILE DE PACHO - RÉSEAU D'ENTRAIDE POUR PARENT D'ENFANT HANDICAPÉ,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,19524,,,
LES YMCA DU QUÉBEC,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,35000,,,
MÈRES AVEC POUVOIR,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,24500,,,
PETITES MAINS,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,43000,,,
POUR 3 POINTS,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,25000,,,
RÉSEAU CITOYEN DE SOLIDARITÉ ICIELA,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,50000,,,
SERVICE D'AIDE ET DE LIAISON POUR IMMIGRANTS LA MAISONNÉE,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,47375,,,
Y DES FEMMES DE MONTRÉALL,100% VILLE,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1237570001,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL TOTALISANT LA SOMME DE 1 016 899  $, À 18 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LE PROJET ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D’EUX, AINSI QUE LA PROLONGATION DE 20 PROJETS DU 1ER AVRIL 2023 AU 31 MARS 2024 DA",CG23 0322,2023-06-16,25000,,,
PLACE GRIFFINTOWN,100% AGGLO,SERVICE DE L'HABITATION,DIRECTION DÉVELOPPEMENT RÉSIDENTIEL,1237597001,APPROUVER UNE SUBVENTION ADDITIONNELLE D’UN MONTANT MAXIMAL DE 1 635 231$ PROVENANT DU FONDS D’INCLUSION DE L’ARRONDISSEMENT DU SUD-OUEST POUR LA RÉALISATION DU PROJET DE LOGEMENT SOCIAL PLACE GRIFFINTOWN DE L’ORGANISME PLACE GRIFFINTOWN ,CG23 0319,2023-06-16,1635231,,,
MAISON DE L'INNOVATION SOCIALE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1237896001,ACCORDER UNE CONTRIBUTION FINANCIÈRE NON RÉCURRENTE DE 578 250$ À LA MAISON DE L'INNOVATION SOCIALE POUR LA MISE EN OEUVRE DU PROJET ''INCUBATEUR CIVIQUE MONTRÉAL 2023-2026''/ APPROUVER UNE CONVENTION À CET EFFET,CG23 0341,2023-06-16,578250,,,
