Gentile_no;Toponyme;Type_entite;Gentile;Prononciation;Variante;Commentaire;bibliographie;Toponyme_red 
1515;Saint-Rosaire;Municipalité de paroisse;Rosarois, Rosaroise (2005*);;;;;SaintRosaire
1819;Saint-Samuel;Municipalité;Samuelois, Samueloise (2007*);;;Commentaire : La municipalité de la paroisse de Saint-Samuel est devenue la municipalité de Saint-Samuel, le 16 juillet 2011.;;saintsamuel
1516;Saints-Anges;Municipalité de paroisse;Angelinois, Angelinoise (1998*);;;;;SaintsAnges
1517;Saint-Sauveur;Ville;Sauverois, Sauveroise (1986*);;;Commentaire : La ville de Saint-Sauveur est issue du regroupement de la municipalité de la paroisse de Saint-Sauveur et de la municipalité du village de Saint-Sauveur-des-Monts, le 11 septembre 2002.;Bibliographie : ANONYME (1986), « Du côté de la Paroisse de Saint-Sauveur », dans Le Journal des Pays d'en Haut, Sainte-Adèle, 19 mars, p. 27.;SaintSauveur
1518;Saint-Sauveur;Quartier (de la ville de Québec);Saint-Sauverois, Saint-Sauveroise (1986);;;;;SaintSauveur
1789;Saint-Sauveur;Municipalité de paroisse;Voir Saint-Sauveur (Ville);;;;;Saint-Sauveur
1519;Saint-Sauveur-des-Monts;Ancienne municipalité de village;Saint-Sauveurois, Saint-Sauveuroise (1978*);;"Variante (s) : Saint-Sauverois; Sauverais; Sauverois; Sauveurais; Sauveurois. ";Commentaire : La municipalité du village de Saint-Sauveur-des-Monts n'existe plus depuis le 11 septembre 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Saint-Sauveur. L'appellation « Saint-Sauveur-des-Monts » (Municipalité de village) n'a plus de statut officiel à la Commission de toponymie.;Bibliographie : BEAUCHAMP-FORGET, Jacques (1978), « What's in a name? », dans L'Écho du Nord, Saint-Jérôme, 4 octobre. LACASSE, Cyprien (1978), « St-Sauveurois, St-Sauveurais? », dans Le Journal des Pays d'en Haut, Sainte-Adèle, 19 octobre.;SaintSauveurdesMonts
1520;Saint-Sébastien;Municipalité (de la région de la Montérégie);Sébastinois, Sébastinoise (1984*);;;Commentaire : La municipalité de la paroisse de Saint-Sébastien est devenue la municipalité de Saint-Sébastien, le 5 novembre 2011.;;SaintSébastien
1521;Saint-Sébastien;Municipalité (de la région de l'Estrie);Sébastiennais, Sébastiennaise (1923);;;;;SaintSébastien
1522;Saint-Sévère;Municipalité de paroisse;Sévèrois, Sévèroise (1986*);;;;;SaintSévère
2924;Saint-Séverin;Municipalité de paroisse;Séverinois, Séverinoise (2016*);;;;;SaintSéverin
1523;Saints-Gervais-et-Protais;Municipalité de paroisse;Voir  Saint-Gervais (Municipalité);;;;;SaintsGervaisetProtais
1524;Saint-Siméon;Municipalité (de la région de la Capitale-Nationale);Saint-Siméonien, Saint-Siméonienne (1986*);;;Commentaire : La municipalité de Saint-Siméon est issue du regroupement de la municipalité du village de Saint-Siméon et de la municipalité de la paroisse de Saint-Siméon, le 25 avril 2001.;;SaintSiméon
1790;Saint-Siméon;Municipalité de village;Voir Saint-Siméon (Municipalité);;;;;Saintsiméon
1525;Saint-Simon;Municipalité ;Simonais, Simonaise (2003*);;;Commentaire : La municipalité de la paroisse de Saint-Simon est devenue la municipalité de Saint-Simon, le 4 avril 2009.;;SaintSimon
1791;Saint-Simon-de-Rimouski;Municipalité;Simonois, Simonoise (1998*);;;;;SAINTSIMONDERIMOUSKI
1526;Saint-Sixte;Municipalité;Saint-Sixtois, Saint-Sixtoise (1986*);;;;;SaintSixte
1527;Saints-Martyrs-Canadiens;Municipalité de paroisse;Martyrois, Martyroise (1985*);;;;;SaintsMartyrsCanadiens
1528;Saint-Stanislas;Municipalité (de la région de la Mauricie);Stanois, Stanoise (1986*);;Variante (s) : Koska (1978).;Commentaire : La variante est issue du nom originel de la municipalité, Saint-Stanislas-de-Koska-de-la-Rivière-des-Envies et véhicule un relent de surnom que les habitants n'appréciaient guère, avec raison. À noter que l'orthographe exacte requiert un t, soit Kostka puisqu'il s'agit de saint Stanislas Kostka, jésuite polonais du XVIe s.;;SaintStanislas
1858;Saint-Stanislas;Municipalité (de la région du SaguenayLac-Saint-Jean);Stanissois, Stanissoise (2011*);;;;;Saintstanislas
1705;Saint-Stanislas-de-Kostka;Municipalité;Staniçois, Staniçoise (2006*);;;Commentaire : La municipalité de la paroisse de Saint-Stanislas-de-Kostka est devenue la municipalité de Saint-Stanislas-de-Kostka, le 27 septembre 2008.;;Saintstanislasdekostka
1529;Saint-Sulpice;Municipalité de paroisse;Sulpicien, Sulpicienne (1978*);;;;;SaintSulpice
1530;Saint-Sylvère;Municipalité;Sylvérois, Sylvéroise (1986*);;;;;SaintSylvère
1531;Saint-Sylvestre;Municipalité de village;Voir Saint-Sylvestre (Municipalité);;;;;SaintSylvestre
1532;Saint-Sylvestre;Municipalité;Sylvestois, Sylvestoise (1996*);;Variante (s) : Saint-Sylvestrien (1988).;Commentaire : La municipalité de Saint-Sylvestre est issue du regroupement de la municipalité du village de Saint-Sylvestre et de la municipalité de la paroisse de Saint-Sylvestre, le 4 décembre 1996.;;SaintSylvestre
1843;Saint-Sylvestre;Municipalité de paroisse;Voir Saint-Sylvestre (Municipalité);;;;;Saintsylvestre
1841;Saint-Télesphore;Municipalité;Télesphorois, Télesphoroise (2009*);;;Commentaire : La municipalité de la paroisse de Saint-Télesphore est devenue la municipalité de Saint-Télesphore, le 7 août 2010.;;sainttélesphore
1533;Saint-Théodore-d'Acton;Municipalité;Théodorien, Théodorienne (1942);;;Commentaire : La municipalité de la paroisse de Saint-Théodore-d'Acton est devenue la municipalité de Saint-Théodore-d'Acton, le 30 juillet 2011.;;SaintThéodoredActon
1534;Saint-Théophile;Municipalité;Théophilien, Théophilienne (1986);;;;;SaintThéophile
1535;Saint-Thomas;Municipalité;Thomassien, Thomassienne (2002*);;;;;SaintThomas
1536;Saint-Thomas-d'Aquin;Secteur (de la ville de Saint-Hyacinthe);Aquinois, Aquinoise (1983*);;;"Commentaire : La municipalité de la paroisse de Saint-Thomas-d'Aquin n'existe plus depuis le 27 décembre 2001, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Saint-Hyacinthe. Le nom « Saint-Thomas-d'Aquin » a toutefois été préservé; il identifie un secteur de cette ville.";;SaintThomasdAquin
1537;Saint-Thomas-de-Pierreville;Ancienne municipalité de paroisse;Thomasien, Thomasienne (1986*);;;Commentaire : La municipalité de la paroisse de Saint-Thomas-de-Pierreville n'existe plus depuis le 13 juin 2001, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Pierreville. L'appellation « Saint-Thomas-de-Pierreville » (Municipalité de paroisse) n'a plus de statut officiel à la Commission de toponymie.;;SaintThomasdePierreville
1538;Saint-Thomas-Didyme;Municipalité;Didymien, Didymienne (1970*);;;;Bibliographie : ANONYME (1985), « Des Girardvillois aux Didymiens », dans Le Point, Dolbeau, 30 avril. ;SaintThomasDidyme
1539;Saint-Thuribe;Municipalité de paroisse;Thuribien, Thuribienne (1900*);;;;;SaintThuribe
1540;Saint-Timothée;Secteur (de la ville de Salaberry-de-Valleyfield);Timothois, Timothoise (1986*);;"Variante (s) : Timothéen (1979); Timotois.";"Commentaire : La municipalité de Saint-Timothée, issue du regroupement de la municipalité du village de Saint-Timothée et de la municipalité de la paroisse de Saint-Timothée, le 25 avril 1990, est devenue la ville de Saint-Timothée, le 8 juin 1994. Celle-ci n'existe plus depuis le 24 avril 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Salaberry-de-Valleyfield. Le nom « Saint-Timothée » a toutefois été préservé; il identifie un secteur de cette ville.";;SaintTimothée
1541;Saint-Tite;Ville;Saint-Titien, Saint-Titienne (1979*);;;;Bibliographie : LAMARRE, Michel (1986), « Les gens de Saint-Tite sont des Saint-Titiens », dans Le Nouvelliste, Trois-Rivières, 10 février, p. 7.;SaintTite
1542;Saint-Tite-des-Caps;Municipalité;Saint-Titois, Saint-Titoise (1967);;;;;SaintTitedesCaps
1543;Saint-Ubalde;Municipalité;Ubaldien, Ubaldienne (1982);;Variante (s) : Saint-Ubaldois (1979).;;;SaintUbalde
1544;Saint-Ulric;Municipalité;Ulricois, Ulricoise (1986*);;;Commentaire : La municipalité du village de Saint-Ulric et la municipalité de la paroisse de Saint-Ulric-de-Matane se sont regroupées pour constituer la municipalité de Rivière-Blanche, le 12 janvier 2000. Celle-ci est devenue la municipalité de Saint-Ulric, le 11 novembre 2000.;;SaintUlric
1794;Saint-Ulric;Municipalité de village;Voir Saint-Ulric (Municipalité);;;;;Saintulric
1545;Saint-Urbain-Premier;Municipalité;Saint-Urbanais, Saint-Urbanaise (1992*);;;Commentaire : L'élément Urbanais provient de l'équivalent latin d'Urbain, Urbanus.;;SaintUrbainPremier
1702;Saint-Valentin;Municipalité ;Valentin, Valentine (2006*);;;Commentaire : La municipalité de la paroisse de Saint-Valentin est devenue la municipalité de Saint-Valentin, le 3 mai 2008.;;SaintValentin
1546;Saint-Valère;Municipalité;Valèrien, Valèrienne (1986*);;;;;SaintValère
1547;Saint-Valérien;Municipalité de paroisse;Valérienois, Valérienoise (1986*);;;;Bibliographie : CÔTÉ, Jeanne D'Arc (1984a), « Sondage consernant (sic) une appellation précise pour les résidents de St-Valérien », dans Le Jaseur, Saint-Valérien, avril, s.p. CÔTÉ, Jeanne D'Arc (1984b), » Désire-t-on une appellation précise pour les résidents de St-Valérien », dans Le Jaseur, Saint-Valérien, mai, s.p.;SaintValérien
1548;Saint-Valérien-de-Milton;Municipalité ;Valériennois, Valériennoise (1994*);;;Commentaire : La municipalité du canton de Saint-Valérien-de-Milton est devenue la municipalité de Saint-Valérien-de-Milton, le 4 avril 2009.;;SaintValériendeMilton
1549;Saint-Vallier;Municipalité;Vallierois, Vallieroise (1986*);;;Commentaire : La municipalité de Saint-Vallier est issue du regroupement de la municipalité du village de Saint-Vallier et de la municipalité de la paroisse de Saint-Vallier, le 10 mars 1993. Les 2 municipalités avaient adopté le même gentilé en 1986.;;SaintVallier
1795;Saint-Vallier;Municipalité de village;Voir Saint-Vallier (Municipalité);;;;;Saintvallier
1796;Saint-Vallier;Municipalité de paroisse;Voir Saint-Vallier (Municipalité);;;;;Saintvallier
1550;Saint-Venant-de-Hereford;Municipalité de paroisse;Voir Saint-Venant-de-Paquette (Municipalité);;;;;SaintVenantdeHereford
1551;Saint-Venant-de-Paquette;Municipalité;Paquettevillien, Paquettevillienne (1986*);;;Commentaire : La municipalité de la paroisse de Saint-Venant-de-Hereford est devenue la municipalité de Saint-Venant-de-Paquette, le 18 décembre 1993. Compte tenu de la nature de la dénomination municipale qui se prête difficilement à la dérivation et de l'identification plus ou moins généralisée de la population à la localité de Paquette, auparavant Paquetteville, dénominations anciennes de la municipalité, c'est à partir de ce dernier nom que l'on a élaboré le gentilé.;;SaintVenantdePaquette
1552;Saint-Vianney;Municipalité;Viannois, Viannoise (1986*);;;Commentaire : La municipalité de la paroisse de Saint-Jean-Baptiste-Vianney est devenue la municipalité de Saint-Vianney en 1988.;;SaintVianney
1553;Saint-Viateur;Secteur (de la municipalité de Saint-Cuthbert);Viatorien, Viatorienne (1985*);;;"Commentaire : La municipalité de la paroisse de Saint-Viateur n'existe plus depuis le 7 janvier 1998, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Saint-Cuthbert. Le nom « Saint-Viateur » a toutefois été préservé; il identifie un secteur de cette municipalité. Le gentilé provient de la dérivation latine, Viateur ayant pour équivalent en cette langue Viator, « le voyageur », lequel donne naissance à l'adjectif viatorius, « relatif aux voyages », dérivant de via, « la voie ».";;SaintViateur
1554;Saint-Viateur-d'Outremont;Paroisse (de la ville de Montréal);Viatorien, Viatorienne (1954);;;Commentaire : Le nom officiel de cette paroisse pour la Commission de toponymie est « Saint-Viateur ».;;SaintViateurdOutremont
1555;Saint-Victor;Municipalité;Victorois, Victoroise (1986*);;;Commentaire : La municipalité de Saint-Victor est issue du regroupement de la municipalité du village de Saint-Victor et de la municipalité de Saint-Victor-de-Tring, le 31 décembre 1996.;;SaintVictor
1797;Saint-Victor;Municipalité de village;Voir Saint-Victor (Municipalité);;;;;Saintvictor
1556;Saint-Victor-de-Tring;Municipalité;Voir Saint-Victor (Municipalité);;;;;SaintVictordeTring
1878;Saint-Wenceslas;Municipalité;Wenceslois, Wencesloise (2012*);;;;;saintwenceslas
1798;Saint-Zacharie;Municipalité de village;Voir Saint-Zacharie (Municipalité);;;;;Saintzacharie
1557;Saint-Zacharie;Municipalité;Zacharois, Zacharoise (1979*);;;Commentaire : La nouvelle municipalité de Saint-Zacharie est issue du regroupement de la municipalité de Saint-Zacharie et de la municipalité du village de Saint-Zacharie, le 18 avril 1990. En mars et en avril 1986 se sont tenues les Festivités Zacharoises, genre de carnaval local très prisé.;;SaintZacharie
1558;Saint-Zénon;Municipalité;Zénonien, Zénonienne (1979*);;;;;SaintZénon
1559;Saint-Zénon-du-Lac-Humqui;Municipalité de paroisse;Lac-Humquien, Lac-Humquienne (1986*);;;;;SaintZénonduLacHumqui
1560;Saint-Zéphirin-de-Courval;Municipalité de paroisse;Zéphirinois, Zéphirinoise (1986*);;Variante (s) : Zéphirinien (1839).;;;SaintZéphirindeCourval
1561;Saint-Zotique;Municipalité ;Zotiquien, Zotiquienne (1986*);;;Commentaire : La municipalité du village de Saint-Zotique a changé son statut pour celui de municipalité, le 4 avril 2009, puis pour celui de ville, le 5 août 2023.;;SAINTZOTIQUE
1562;Sakami;Lieu-dit (de la municipalité de la Baie-James);Sakamien, Sakamienne (1981);;;;;Sakami
1563;Salaberry-de-Valleyfield;Ville;"Campivallensien, Campivallensienne (fin XIXe siècle; 1980*)";[KAN-PI-VA-LAN-SYIN/SYENNE];"Variante (s) : Campivalencien; Campivalensien; Campivalentien; Campivallencien; Salaberrien; Valcampiste; Valleycampien; Valleyfieldois (1947). ";"Commentaire : Nombre de personnes sont intriguées par ce gentilé. Il tire son origine d'un bref apostolique, daté du 5 avril 1892, par lequel le pape Léon XIII éleva la ville à la dignité de siège épiscopal. Or, la désignation ecclésiastique choisie, qui d'ailleurs fit couler beaucoup d'encre, était Campivallensis, transposition en latin des éléments constitutifs du toponyme Valleyfield, à savoir valley, « vallée » (latin val, diminutif vallensis, « petite vallée ») et field,  « terrain; champ » (latin campus, au pluriel campi). Par ailleurs, on peut relever à quelques reprises l'équivalent « Vallée des Champs », à titre de « surnom » de la ville. De Campivallensis à Campivallensien il n'y avait qu'un pas qu'on a franchi aisément. Pour de plus amples renseignements, on se reportera à Centenaire de Salaberry-de-Valleyfield (1874-1974). Album souvenir, (1974), s.I., s.é., 197 p. Le bulletin municipal d'information, qui s'intitulait Le Campivallensien lors de sa création en 1982, a pour titre Le Campi depuis janvier 2018.";"Source : Conseil de Salaberry-de-Valleyfield, résolution 80-881 du 22 septembre 1980, reconnaissant le gentilé « Campivallensien ».
ANONYME (1983), « Campi ... Quoi? », dans Le Campivallensien, Salaberry-de-Valleyfield, vol. 2, no 4, décembre, p. 10.
LEFEBVRE, Marc (1985), « Quel est votre gentilé? », dans Journal annuel de la Société historique de la Vallée de la Châteauguay, Howick, p. 13-16.";SALABERRYDEVALLEYFIELD
1564;Salluit;Municipalité de village nordique;Sallumiuq (1975) (forme inuite);[SA-LOU-MI-YOUK] ;;;;Salluit
1565;Saraguay;Secteur (de la ville de Montréal);Saraguayen, Saraguayenne (1964);;;;;Saraguay
1567;Sault aux Cochons, Rivière du;Rivière;Kuakueulnu (1991) (forme innue);;;Commentaire : Le gentilé a pour sens : « Indien de la rivière du Sault aux Cochons », le cours d'eau étant identifié comme Kuakueu-shipu, en innu.;;SaultauxCochons
1566;Sault-au-Récollet;Secteur (de la ville de Montréal);Récollétain, Récollétaine (1936);;;;;SaultauRécollet
1568;Sawyerville;Village (de la ville de Cookshire-Eaton);Sawyerviller (1983) (forme anglaise);;;"Commentaire : La municipalité du village de Sawyerville n'existe plus depuis le 25 avril 2001, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Cookshire-Eaton. Le nom « Sawyerville » a toutefois été préservé; il identifie un village de cette municipalité.";;Sawyerville
1569;Sayabec;Municipalité;Sayabécois, Sayabécoise (1980) ;[SÉ-BÉ-KOI/KOIZ];Variante (s) : Sayabecois (1946). ;Commentaire : En septembre 1980 est paru le premier numéro des Échos Sayabecois, revue municipale, sous le titre Sayabec Quoi?;;Sayabec
1570;Schefferville;Ville;Scheffervillois, Scheffervilloise (1978);;;Commentaire : Avec la sanction de la loi 67, le 19 juin 1986, cette ville a cessé d'exister sur un plan légal, mais on continuera longtemps d'évoquer les Sherffervillois, comme les Gagnonais qui ont subi le même sort, par ailleurs.;;Schefferville
1571;Scotstown;Ville;Scotstownois, Scotstownoise (1986*);;;;;Scotstown
1572;Scott;Municipalité;Scottois, Scottoise (1983*);;;Commentaire : La municipalité de Scott est issue du regroupement de la municipalité du village de Scott et de la municipalité de Taschereau-Fortier, le 29 mars 1995.;Bibliographie : BÉGIN, François (1986), « Salut les Scottois et Scottoises! », dans Beauce Média, Sainte-Marie, 18 février, p. 6A.;Scott
1799;Scott;Municipalité de village;Voir Scott (Municipalité);;;;;Scott
1573;Senneterre;Municipalité de paroisse;Senneterrois, Senneterroise (1986*);;;;;Senneterre
1574;Senneterre;Ville;Senneterrien, Senneterrienne (1971);;Variante (s) : Senneterrois.;Commentaire : Les deux gentilés usités le sont de manière quasi équivalente.;;Senneterre
1575;Sept-Îles;Ville;Septilien, Septilienne (1977);[SÈ-TI-LYIN/LYENNE];"Variante (s) : Septîlien (1953); Sept-Ilien; Sept-Îlien (1964); Septilois; Sept-Îlois; Setilien. ";Commentaire : En 1953, les membres de la Société historique du Saguenay ont été saisis d'une demande de monseigneur René Bélanger, historien bien connu de la Côte-Nord, quant au nom que devraient porter les habitants de Sept-Îles. Après avoir écarté septinsulaires, on a proposé septîlois et septîliens, ce dernier ayant obtenu la faveur générale. Dans l'optique où celui-ci « serait choisi, l'abbé Bluteau et l'abbé Pilote tiennent qu'il faudrait orthographier « septîliens » (en gardant le « p ») et prononcer « sétîliens ». (Lettre de l'abbé Victor Tremblay à monseigneur René Bélanger en date du 26 novembre 1953, document conservé au Centre régional du SaguenayLac-Saint-Jean des Archives nationales à Chicoutimi et dont copie nous a été procurée par notre collègue Jacques Fortin). À noter qu'une variété de barque pour la pêche a été baptisée la Sept-Îloise.;;SeptÎles
1576;Sept-Lacs, Rang des;Chemin (de la municipalité de la paroisse de Saint-Donat, de la région du Bas-Saint-Laurent);Sept-Lacquois, Sept-Lacquoise (1989) ;;;Commentaire : Quoique limitrophe à Saint-Gabriel, Sainte-Angèle-de-Méréci et Saint-Donat, la plus grande partie de ce rang se situe dans Saint-Donat. Le nom officiel de cette voie pour la Commission de toponymie est « Rang des Sept-Lacs Est » et « Rang des Sept-Lacs Ouest ».;;SeptLacs
1577;Shannon;Ville;Shannonite (1980) (forme anglaise);;;;;SHANNON
1578;Shawinigan;Ville;Shawiniganais, Shawiniganaise (1930*);;Variante (s) : Shawin.;;;Shawinigan
1579;Shawinigan-Sud;Secteur (de la ville de Shawinigan);Shawiniganais, Shawiniganaise (1985*);;Variante (s) : Almavillois (1983). ;"Commentaire : La ville de Shawinigan-Sud n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Shawinigan. Le nom « Shawinigan-Sud » a toutefois été préservé; il identifie un secteur de cette ville. Almaville a constitué la première dénomination de la ville.";;ShawiniganSud
1580;Shawville;Municipalité ;Shawvillite (1980*) (forme anglaise);;;;;Shawville
1800;Sheenboro;Municipalité;Sheener (1984*) (forme anglaise);;;Commentaire : La municipalité des cantons unis de Sheen-Esher-Aberdeen-et-Malakoff est devenue la municipalité de Sheenboro, le 11 octobre 2003.;;Sheeboro
1581;Sheen-Esher-Aberdeen-et-Malakoff;Municipalité de cantons unis;Voir Sheenboro (Municipalité);;;;;SheenEsherAberdeenetMalakoff
1837;Shefford;Municipalité de canton;Sheffordois, Sheffordoise;;;;;'Shefford'
1582;Sheldrake;Village (de la municipalité de Rivière-au-Tonnerre);Sheldrakien, Sheldrakienne (1897);[CHEL-DRÉ-KYIN/KYENNE];;;;Sheldrake
1583;Sherbrooke;Ville;"Sherbrookois, Sherbrookoise (1923*); Sherbrooker (1969) (forme anglaise)";;"Variante (s) : Sherbrookien (1939); Sherbroukois.";;;Sherbrooke
1584;Shigawake;Municipalité;Shigawakien, Shigawakienne (1994);;;;;Shigawake
1585;Shipshaw;Secteur (de la ville de Saguenay);Shipshois, Shipshoise (1988*) ;;Variante (s) : Shipshawyen (1928). ;"Commentaire : La municipalité de Shipshaw n'existe plus depuis le 18 février 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Saguenay. Le nom « Shipshaw » a toutefois été préservé; il identifie un secteur de cette ville. En dépit de son ancienneté, le gentilé Shipshawyen, peu euphonique, a été écarté de l'usage moderne à l'occasion d'une consultation populaire tenue à la fin de 1987. ";Bibliographie : GAGNON, Martine (1987), « La minute municipale. Concours », dans La Vie d'ici, vol. 6, no 1, Shipshaw, 20 novembre, p. 4.;Shipshaw
1586;Shipton;Ancienne municipalité de canton;"Shiptonnais, Shiptonnaise (1985*); Shiptonner (1984) (forme anglaise)";;;Commentaire : La municipalité du canton de Shipton est devenue la municipalité de Shipton, le 18 décembre 1993. Celle-ci n'existe plus depuis le 17 mars 1999, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Danville. L'appellation « Shipton » (Municipalité de canton) n'a plus de statut officiel à la Commission de toponymie.;;Shipton
1587;Sillery;Secteur (de la ville de Québec);Sillerois, Silleroise (1984*);[SI-LE-ROI/ROIZ];"Variante (s) : Sillerien (1953); Sillerinois (1953). ";"Commentaire : La ville de Sillery n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Québec. Le nom « Sillery » a toutefois été préservé; il identifie un secteur de cette ville. Comme le soulignait avec humour la personne qui a piloté le dossier de la modification du gentilé Sillerien en Sillerois, monsieur Clément T.-Dussault, les gens préfèrent être traitées de « rois » que de « riens »... et on ne saurait les en blâmer!";Bibliographie : CITADIN [pseudonyme] (1953), « Silleriens ou Sillerinois? », dans Bulletin des recherches historiques, Lévis, no 59, p. 60. DUPONT Élaine (1982), « La toponymie, connaissez-vous? », dans L'Appel, Sainte-Foy, 5 mai.;Sillery
1588;Sorel;Secteur (de la ville de Sorel-Tracy);"Sorelois, Sorelois (1876*); Soreller (1884) (forme anglaise) ";;"Variante (s) : Sorélois; Sorellois (1882). ";"Commentaire : La ville de Sorel n'existe plus depuis le 15 mars 2000, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Sorel-Tracy. Le nom « Sorel » a toutefois été préservé; il identifie un secteur de cette ville. Au cours des années 1880, un journal a paru sous le titre Le Sorellois, modifié plus tard en Le Sorelois. De plus, un bateau dénommé Le Sorelois a été construit en 1899. ";Bibliographie : CHAMARD, Ernest (1949), « Lois du peuple et lois de l'Académie », dans Le Devoir, 23 février, p. 8.;Sorel
1590;Soulanges;Division de recensement;Soulangeois, Soulangeoise (1978) ;;;Commentaire : Anciennement, cette division de recensement constituait une municipalité de comté. L'appellation « Soulanges » (Division de recensement) n'a pas été officialisée à ce jour par la Commission de toponymie.;;Soulanges
1589;Soulanges, Circonscription électorale de;Circonscription électorale provinciale;Soulangeois, Soulangeoise (1969) ;;;Commentaire : De 1867 à 1939, les circonscriptions électorales de Vaudreuil et de Soulanges ont existé comme entités séparées. Toutefois, cette situation s'est prolongée jusqu'à aujourd'hui, bien qu'elles avaient été réunies sous la dénomination unique de Vaudreuil-Soulanges.;;Soulanges
2919;Stanbridge Station;Municipalité;Stanbridgeois, Stanbridgeoise (2015*);;;;;StanbridgeStation
1591;Stanstead;Ville;Stansteadois, Stansteadoise (1986*);;;Commentaire : La ville de Stanstead est issue du regroupement de la municipalité de Rock Island et des municipalités des villages de Stanstead Plain et de Beebe Plain, le 1er février 1995.;;Stanstead
1592;Stanstead Plain;Secteur (de la ville de Stanstead);Stansteadois, Stansteadoise (1986*) ;;;"Commentaire : La municipalité du village de Stanstead Plain n'existe plus depuis le 1er février 1995, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Stanstead. Le nom « Stanstead Plain » a toutefois été préservé; il identifie un secteur de cette ville.";Bibliographie : ANONYME (1986), « Stansteadois? Stansteadoise? », dans Hampstead Journal, Montréal, 30 avril.;StansteadPlain
2915;Stanstead-Est;Municipalité;Stansteadestien, Stansteadestienne (2015*);;;;;StansteadEst
1593;Stoke;Municipalité;Stokois, Stokoise (1982*);;;;;Stoke
1594;Stornoway;Municipalité;Stornowayen, Stornowayenne (1986*);[STOR-NO-WÉ-IN/ENNE];;;;Stornoway
1595;Stratford;Municipalité de canton;Stratfordois, Stratfordoise (1986*);;;;;Stratford
1596;Stukely-Sud;Municipalité de village;Diligent, Diligente (1986*);;Variante (s) : Stukelois-du-Sud. ;Commentaire : Jadis les diligences traversaient la municipalité. Pour souligner ce fait, important à l'époque, on a retenu le vocable le plus près de diligence. Par ailleurs, une voie de communication de Stukely-Sud a pour nom Chemin de la Diligence, auparavant Chemin des Diligences.;;StukelySud
1597;Suffolk-et-Addington;Municipalité de cantons unis;Voir Saint-Émile-de-Suffolk (Municipalité);;;;;SuffolketAddington
1598;Sullivan;Secteur (de la ville de Val-d'Or);Sullivannois, Sullivannoise (1986*);;;"Commentaire : La municipalité de Sullivan n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Val-d'Or. Le nom « Sullivan » a toutefois été préservé; il identifie un secteur de cette ville.";;Sullivan
1599;Suroît;Région;Suroîsien, Suroîsienne (1991);;;Commentaire : Cette région géographique d'appartenance occupe l'extrême sud-ouest de la Montérégie et son territoire regroupe les MRC de Vaudreuil-Soulanges, du Haut-Saint-Laurent et de Beauharnois-Salaberry. Le Suroît offre un bel exemple de concertation municipale fondée sur une communauté territoriale qui sert de moteur à un développement touristico-commercial important. Suroît provient du normand surouest ou surouet qui désigne un vent dominant du sud-ouest. L'appellation « Suroît » (Région) n'a pas été officialisée à ce jour par la Commission de toponymie.;Bibliographie : MORAND, Normand (1991), « Les gens du Sud-Ouest deviendraient les Suroîsiens », dans Le Soleil du Saint-Laurent, Salaberry-de-Valleyfield, 24 novembre, p. A-15.;Suroît
1600;Sutton;Ville;Suttonnais, Suttonnaise (1983*);;;;;Sutton
1601;Tadoussac;Municipalité de village;Tadoussacien, Tadoussacienne (1889*) ;[TA-DOU-SA-KYIN/KYENNE];Variante (s) : Tadoussaccien (1913). ;Commentaire : La variante s'applique à un groupe amérindien innu aujourd'hui disparu.;;Tadoussac
1602;Taschereau;Municipalité ;Tascherellois, Tascherelloise (2002*);;"Variante (s) : Tascheronier; Tascherois (1986*). ";Commentaire : La nouvelle municipalité de Taschereau est issue du regroupement de la municipalité de Taschereau et de la municipalité du village de Taschereau, le 27 décembre 2001. Le l de passage redoublé contribue à une prononciation plus harmonieuse. Le gentilé «  Tascherellois, oise » qui avait été adopté par la municipalité du village en 1980 a été repris par la nouvelle municipalité le 2 juillet 2002 en remplacement de celui de Tascherois, Tascheroise adopté en 1986 par l'ancienne municipalité de Taschereau.;;Taschereau
1801;Taschereau;Municipalité de village;Voir Taschereau (Municipalité);;;;;Taschereau
1802;Tasiujaq;Municipalité de village nordique;Tasiujarmiuq (1975) (forme inuite);[TA-SI-OU-YA-MI-YOUK];Variante (s) : Tasiujamiuq.;;;Tasiujaq
1604;Témiscaming;Ville;Témiscaminois, Témiscaminoise (1986*);;Variante (s) : Témiscamien (1978).;;;Témiscaming
1606;Témiscamingue;MRC;Témiscamien, Témiscamienne (1986*);;;;;Témiscamingue
