#accreditation,Nom_employeur,Adresse_employeur,Nom_association,Syndicat,Statut_arret_de_travail,Secteur_Prive_Public,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_de_jours_personnes_perdus_dans_annee,Debut_du_conflit,Date_de_fin,Date_expiration_derniere_convention_collective,Nombre_ jours_personnes_perdus_depuis_debut_du_conflit,Duree_jours_ouvrables_depuis_debut,
AQ20022121,Services Prehospitaliers Paraxion inc.,309. rue des Entrepreneurs.  Montmagny G5V4S9,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Cote-Nord,0,0,2022-04-15,2023-06-19,,0,418,
AR10046980,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec QC,Federation des employees et employes de services publics - (FEESP - CSN),CSN,Greve,Public,Services d'enseignement,8510,Plus d'une region,55718,58288,2023-11-06,,2023-03-31,58287,3,
AR10046981,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation des employees et employes de services publics inc. (FEESP-CSN),CSN,Greve,Public,Services d'enseignement,8521,Plus d'une region,9988,6018,2023-11-06,,2023-03-31,6018,9,
AR10046982,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation nationale des enseignantes et enseignants du Quebec - CSN,CSN,Greve,Public,Services d'enseignement,8521,Plus d'une region,29970,12988,2023-11-06,,2023-03-31,12988,9,
AR10046985,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec QC,Syndicat canadien de la fonction publique -(SCFP - FTQ),FTQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,15281,29996,2023-11-06,,2023-03-31,29996,8,
AR10046990,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Syndicat canadien de la fonction publique -(SCFP - FTQ),FTQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,1540,5262,2023-11-06,,2023-03-31,5261,9,
AR10046991,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec QC,Centrale des syndicats du Quebec pour le compte des syndicats de professionnelles et professionnels,CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,9184,8358,2023-11-06,,2023-03-31,8358,8,
AR10046993,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec QC,Centrale des syndicats du Quebec,CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,36808,42252,2023-11-06,,2023-03-31,42252,8,
AR10046994,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec,Centrale des syndicats du Quebec,CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,71183,54827,2023-11-06,,2023-03-31,54826,8,
AR10046998,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation du personnel professionnel des colleges - (FPPC - CSQ),CSQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,2119,1020,2023-11-06,,2023-03-31,1020,9,
AR10047002,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation des enseignantes et enseignants de CeGEP - (FEC - CSQ),CSQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,3344,5389,2023-11-06,,2023-03-31,5389,9,
AR10047007,Comite patronal de negociation des colleges (CPNC),1410. rue Stanley. 7e etage. Montreal,Syndicats des professionnelles et professionnels du gouvernement du Quebec (SPGQ),CSN,Greve,Public,Services d'enseignement,8521,Plus d'une region,184,680,2023-11-06,,2023-03-31,680,9,
AR10047008,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation du personnel de soutien scolaire - (FPSS - CSQ),CSQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,5032,8679,2023-11-06,,2023-03-31,8678,9,
AR10048827,Comite patronal de negociation des commissions  scolaires anglophones (CPNCA),1410 rue Stanley bureau 900 Montreal,Association provinciale des enseignantes et enseignants du Quebec (APEQ),IND PRO,Greve,Public,Services d'enseignement,8511,Plus d'une region,7876,16800,2023-11-06,,2023-03-31,16800,8,
AR10049443,Comite patronal de negociation des commissions  scolaires anglophones (CPNCA),1410 rue Stanley bureau 900 Montreal,Federation des professionnelles et professionnels de l'education du Quebec,CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,891,2092,2023-11-06,,2023-03-31,2091,8,
AR10051627,Comite patronal de negociation des commissions  scolaires anglophones (CPNCA),1410 rue Stanley bureau 900 Montreal,Federation des employees et employes de services publics - (FEESP - CSN),CSN,Greve,Public,Services d'enseignement,8511,Montreal,3302,9989,2023-11-05,,2023-03-31,9989,8,
AR20000515,Comite patronal de negociation pour les centres de services scolaires francophones (CPNCF),150. boulevard Rene-Levesque Est. 16e etage. Quebec,Syndicat  des employees et employes professionnel(le)s et de bureau - (SEPB - FTQ),FTQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,10453,44596,2023-11-06,,2023-03-31,44595,8,
AR20007486,Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS),3700. rue Berri. bureau 300. Montreal,Federation interprofessionelle de la sante du Quebec - (FIQ- Org.),IND PRO,Greve,Public,Services de sante et services sociaux,8600,Plus d'une region,5786,45288.53,2023-11-08,,2023-03-31,45260,8,
AR20007489,Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS),3700. rue Berri. bureau 300. Montreal,Federation de la sante et des services sociaux - (FSSS - CSN),CSN,Greve,Public,Services de sante et services sociaux,8600,Plus d'une region,8584,94056,2023-11-06,,2023-03-31,94056,11,
AR20007490,Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS),1410. rue Stanley. 6e etage. bureau 602. Montreal,Syndicat quebecois des employees et employes de service.  section locale 298 - (SQEES-298 - FTQ),FTQ,Greve,Public,Services de sante et services sociaux,8600,Plus d'une region,815,8941.7,2023-11-06,,2023-03-31,6073,11,
AR20007492,Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS),3700. rue Berri. bureau 300. Montreal,Syndicat canadien de la fonction publique -(SCFP - FTQ),FTQ,Greve,Public,Services de sante et services sociaux,8624,Plus d'une region,1961,21510.14,2023-11-06,,2023-03-31,21500,11,
AR20007493,Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS),3700 rue Berri. bureau 300 Montreal,Alliance du personnel professionnel et technique de la sante et des services sociaux(APTS),IND PRO,Greve,Public,Services de sante et services sociaux,8600,Plus d'une region,5916,63170.42,2023-11-06,,2023-03-31,63152,11,
AR20007494,Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS),1410. rue Stanley. 6e etage. bureau 602. Montreal,Union quebecoise des infirmieres et infirmiers - (UQII - CSQ),CSQ,Greve,Public,Services de sante et services sociaux,8631,Plus d'une region,413,4549.28,2023-11-06,,2023-03-31,4546,11,
AR20008372,Comite patronal de negociation des commissions  scolaires anglophones (CPNCA),1410 rue Stanley bureau 900 Montreal,Syndicat  des employees et employes professionnel(le)s et de bureau - (SEPB - FTQ),FTQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,3173,10109,2023-11-06,,2023-03-31,10108,5,
AR20008844,Comite patronal de negociation des commissions scolaires anglophones (CPNCA),1410. rue Stanley. bureau 900. Montreal,Union des employes et employees de service (UES- 800 - FTQ),FTQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,1527,4998,2023-11-06,,2023-03-31,4998,8,
AR20008854,Comite patronal de negociation pour les centres de services scolaires francophones (CPNCF),150. boulevard Rene-Levesque Est. 16e etage Quebec QC,Syndicat canadien de la fonction publique -(SCFP - FTQ),FTQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,774,2327,2023-11-06,,2023-03-31,2326,8,
AR20009861,Comite patronal de negociation pour les centres de services scolaires francophones (CPNCF),150. boulevard Rene-Levesque Est. 16e etage Quebec QC,Federation autonome de l'enseignement (FAE),IND LOC,Greve,Public,Services d'enseignement,8511,Plus d'une region,63878,642096,2023-11-23,,2023-03-31,642096,26,
AR20014549,Services Prehospitaliers Paraxion inc.,309. rue des Entrepreneurs.  Montmagny G5V4S9,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Gaspesie--iles-de-la-Madeleine,373,0,2022-07-01,2023-12-11,2022-03-31,0,341,
AR20014550,Cooperative des techniciens ambulanciers du Quebec (CTAQ),6000. rue des Tournelles.  Quebec G2J1E4,Association des travailleurs du prehospitalier (ATPH),CSN,Greve,Prive,Services de sante et services sociaux,8689,Capitale-Nationale,85,0,2021-07-20,2022-12-23,2020-03-31,0,418,
AR20014583,Corporation des services d'ambulance du Quebec,455 rue du Marais. bureau 205  Quebec,Travailleurs ambulanciers syndiques de Beauce inc.,Independant,Greve,Prive,Services de sante et services sociaux,8689,Chaudiere-Appalaches,102,0,2021-12-14,2023-06-19,2020-03-31,0,540,
AR20022480,Comite patronal de negociation des colleges (CPNC),1410. rue Stanley. 7e etage. Montreal,Federation nationale des enseignantes et enseignants du Quebec - CSN,CSN,Greve,Public,Services d'enseignement,8521,Plus d'une region,39,102,2023-11-06,,2023-03-31,102,9,
